Nro_Orden_Establecimiento;Periodo;INSERTOT;Sede;Subsede;NOVEDAD;ESTADO
371773;2012;299392;Barranquilla;Barranquilla;99;5
10200178;2012;1168906;Bogotá;Bogotá;99;5
10401670;2012;54545;Cali;Cali;99;5
10207516;2012;505863;Bogotá;Bogotá;99;5
10207570;2012;28575;Bogotá;Bogotá;99;5
297826670;2012;3686196;Barranquilla;Barranquilla;99;5
297826831;2012;3503592;Barranquilla;Barranquilla;99;5
297826723;2012;17447926;Barranquilla;Barranquilla;99;5
441900;2012;3336531;Barranquilla;Cartagena;99;5
297826718;2012;14166226;Barranquilla;Barranquilla;99;5
297826953;2012;4234252;Barranquilla;Barranquilla;99;5
297826792;2012;3234769;Barranquilla;Barranquilla;99;5
297826898;2012;4950953;Barranquilla;Barranquilla;99;5
296886290;2012;2106620;Barranquilla;Cartagena;99;5
9816110;2012;1720639;Barranquilla;Barranquilla;99;5
9815988;2012;501755;Barranquilla;Barranquilla;99;5
297826722;2012;1029313;Barranquilla;Barranquilla;99;5
297827969;2012;1224723;Barranquilla;Barranquilla;99;5
297819041;2012;6765971;Barranquilla;Barranquilla;99;5
452218;2012;7719398;Barranquilla;Barranquilla;99;5
441772;2012;1617728;Barranquilla;Barranquilla;99;5
441802;2012;2076632;Barranquilla;Barranquilla;99;5
441854;2012;853184;Barranquilla;Barranquilla;99;5
297826799;2012;1617783;Bogotá;Bogotá;99;5
297718659;2012;2269368;Bogotá;Bogotá;99;5
297826796;2012;3196693;Bogotá;Bogotá;99;5
297827958;2012;7708628;Bogotá;Bogotá;99;5
297827000;2012;5609791;Bogotá;Bogotá;99;5
414681;2012;5148164;Bogotá;Bogotá;99;5
382101;2012;2131086;Cali;Popayán;99;5
297826978;2012;14452363;Bogotá;Bogotá;99;5
297826677;2012;5050074;Bogotá;Bogotá;99;5
297826828;2012;11814774;Bogotá;Bogotá;99;5
297826830;2012;4968905;Bogotá;Bogotá;99;5
452491;2012;1658491;Barranquilla;Cartagena;99;5
9807355;2012;28456069;Bogotá;Bogotá;99;5
297826832;2012;5390750;Bogotá;Bogotá;99;5
297826833;2012;27282674;Bogotá;Bogotá;99;5
297826834;2012;18390568;Bogotá;Bogotá;99;5
452129;2012;1242773;Bogotá;Bogotá;99;5
9807356;2012;1270959;Bogotá;Bogotá;99;5
9807357;2012;1719130;Bogotá;Bogotá;99;5
