Nro_Orden_Establecimiento;Periodo;NUMHAB;NUMCAMA;IHPN;IHPT;Sede;Subsede;NOVEDAD;ESTADO
371773;2012;20;32;4635;4635;Barranquilla;Barranquilla;99;5
10200178;2012;36;104;15435;9260;Bogotá;Bogotá;99;5
10401670;2012;9;12;3000;3000;Cali;Cali;99;5
10207516;2012;11;28;3619;2413;Bogotá;Bogotá;99;5
10207570;2012;24;34;1428;764;Bogotá;Bogotá;99;5
297826670;2012;109;138;23502;13980;Barranquilla;Barranquilla;99;5
297826831;2012;72;94;19600;13404;Barranquilla;Barranquilla;99;5
297826723;2012;176;218;53556;51926;Barranquilla;Barranquilla;99;5
441900;2012;32;65;19582;7833;Barranquilla;Cartagena;99;5
297826718;2012;142;191;53954;51064;Barranquilla;Barranquilla;99;5
297826953;2012;76;294;31261;27341;Barranquilla;Barranquilla;99;5
297826792;2012;105;210;17434;12185;Barranquilla;Barranquilla;99;5
297826898;2012;193;363;23479;19322;Barranquilla;Barranquilla;99;5
296886290;2012;79;237;39311;16082;Barranquilla;Cartagena;99;5
9816110;2012;77;104;13551;7122;Barranquilla;Barranquilla;99;5
9815988;2012;58;107;5632;2696;Barranquilla;Barranquilla;99;5
297826722;2012;49;59;9913;9913;Barranquilla;Barranquilla;99;5
297827969;2012;44;96;10936;10431;Barranquilla;Barranquilla;99;5
297819041;2012;118;123;31369;30653;Barranquilla;Barranquilla;99;5
452218;2012;126;188;43042;43042;Barranquilla;Barranquilla;99;5
441772;2012;58;80;21654;21654;Barranquilla;Barranquilla;99;5
441802;2012;50;62;18942;17942;Barranquilla;Barranquilla;99;5
441854;2012;11;54;2179;2179;Barranquilla;Barranquilla;99;5
297826799;2012;32;43;7370;6508;Bogotá;Bogotá;99;5
297718659;2012;55;110;19257;10283;Bogotá;Bogotá;99;5
297826796;2012;35;46;6648;5997;Bogotá;Bogotá;99;5
297827958;2012;82;92;33498;19903;Bogotá;Bogotá;99;5
297827000;2012;66;80;27701;23308;Bogotá;Bogotá;99;5
414681;2012;95;131;26045;21476;Bogotá;Bogotá;99;5
382101;2012;47;117;9446;4598;Cali;Popayán;99;5
297826978;2012;333;463;70272;59250;Bogotá;Bogotá;99;5
297826677;2012;75;89;25750;22986;Bogotá;Bogotá;99;5
297826828;2012;102;109;26178;25595;Bogotá;Bogotá;99;5
297826830;2012;62;86;18576;14739;Bogotá;Bogotá;99;5
452491;2012;18;36;7880;2484;Barranquilla;Cartagena;99;5
9807355;2012;251;282;75637;75518;Bogotá;Bogotá;99;5
297826832;2012;70;140;19615;18653;Bogotá;Bogotá;99;5
297826833;2012;323;424;105454;93577;Bogotá;Bogotá;99;5
297826834;2012;216;347;92604;61108;Bogotá;Bogotá;99;5
452129;2012;65;130;11426;4899;Bogotá;Bogotá;99;5
9807356;2012;44;88;7335;3257;Bogotá;Bogotá;99;5
9807357;2012;52;104;13430;7421;Bogotá;Bogotá;99;5
297826941;2012;32;64;9809;6194;Bogotá;Bogotá;99;5
297826946;2012;96;139;27255;26930;Bogotá;Bogotá;99;5
297826982;2012;100;186;41818;31922;Bogotá;Bogotá;99;5
296886228;2012;89;198;32182;19989;Barranquilla;Cartagena;99;5
297826663;2012;39;78;17735;12307;Bogotá;Bogotá;99;5
