Nro_Orden_Establecimiento;Periodo;C3RHE1;C3RHE2;C3RHE5;PROGAHORR;C3RHC1PTU;C3RHC4RCASUP;C3RHC5RCASUB;C3RHC6PMS;MULTABAS;C3RHC7TOGT;C3RHA1cAC;C3RHA1dAC;VOCONSBL;VACONSBLQ;C3RHA5cCT;C3RHA5dCT;C3RHA6cALL;C3RHA2aSUP;C3RHA2bSUP;FECHADESDESUP;FECHAHASTASUP;C3RHA2cSUP;C3RHA3aSUB;C3RHA3bSUB;FECHADESDESUB;FECHAHASTASUB;C3RHA3cSUB;C3RHA4aAM;C3RHA4bAM;FECHADESDEMAR;FECHAHASTAMAR;C3RHA4cAM;C3RHA7aTVC;C3RHA7bTPC;C3RHA7cTVU;C3RHA7dTVPCA;Sede;Subsede;NOVEDAD;ESTADO
371773;2012;0;0;0;0;0;0;0;0;0;0;2014;5194;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;2014;5194;Barranquilla;Barranquilla;99;5
10200178;2012;0;0;0;0;14;0;0;0;0;14;2871;14068;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;2871;14068;Bogotá;Bogotá;99;5
10401670;2012;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;35;0;Cali;Cali;99;5
10207516;2012;0;0;0;0;0;0;0;0;0;0;116;288;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;116;288;Bogotá;Bogotá;99;5
10207570;2012;0;250;100;350;5;0;0;0;0;5;1020;2402;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;1020;2402;Bogotá;Bogotá;99;5
297826670;2012;0;0;29010;0;0;0;0;0;0;0;22109;55990;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;22109;55990;Barranquilla;Barranquilla;99;5
297826831;2012;0;0;0;0;45;0;0;0;0;45;27095;65700;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;27095;65700;Barranquilla;Barranquilla;99;5
297826723;2012;0;0;2000;2000;60;0;0;0;0;60;36200;90460;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;36200;90460;Barranquilla;Barranquilla;99;5
441900;2012;13460;12567;5645;0;0;0;0;0;0;0;0;0;0;0;9360;76345;1159;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;10519;76345;Barranquilla;Cartagena;99;5
297826718;2012;0;0;0;0;44;0;0;0;0;44;27524;66059;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;27524;66059;Barranquilla;Barranquilla;99;5
297826953;2012;0;0;600;0;112;0;958;0;0;1070;1078;2193;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;1078;2193;Barranquilla;Barranquilla;99;5
297826792;2012;0;0;0;0;190;0;1476;0;0;1666;4350;14188;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;4350;14188;Barranquilla;Barranquilla;99;5
297826898;2012;0;0;0;0;110;0;0;0;0;110;66089;164339;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;66089;164339;Barranquilla;Barranquilla;99;5
296886290;2012;0;0;0;0;53;0;0;0;0;53;9846;19053;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;9846;19053;Barranquilla;Cartagena;99;5
9816110;2012;0;0;0;0;0;0;881;0;0;881;1988;4292;0;0;0;0;0;0;0; ; ;0;3600;881;01/06/2012;01/06/2013;1800;0;0; ; ;0;3600;881;3788;4292;Barranquilla;Barranquilla;99;5
9815988;2012;0;0;0;0;50;0;0;0;0;50;3030;7588;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;3030;7588;Barranquilla;Barranquilla;99;5
297826722;2012;3000;1500;5000;0;148;0;0;0;0;148;4947;12387;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;4947;12387;Barranquilla;Barranquilla;99;5
297827969;2012;0;0;0;652;2;0;1321;0;0;1323;1376;2991;0;0;0;0;0;0;0; ; ;0;1200;1321;05/10/2012;05/10/2013;770;0;0; ; ;0;1200;1321;2146;2991;Barranquilla;Barranquilla;99;5
297819041;2012;0;0;0;0;18;0;0;0;0;18;10648;26685;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;10648;26685;Barranquilla;Barranquilla;99;5
