Nro_Orden_Establecimiento;Periodo;C3RHE3;C3RHE4;C4VERTIADAPT;C6GAA1f;C3RHD1PTRV;C3RHD2PPVP;C3RHD3PMSV;MULTAVERT;C3RHD4TGTV;C3RHB1TAR;C3RHB2a;C3RHB2b;C3RHB2c;C3RHB2d;C3RHB3a3A;C3RHB3b3A;C3RHB3c3A;C3RHB3d3A;C3RHB3eT3A;C3RHB3a3B;C3RHB3b3B;C3RHB3c3B;C3RHB3d3B;C3RHB3eT3B;C3RHB4VAL;Sede;Subsede;NOVEDAD;ESTADO
371773;2012;0;0;0;0;0;0;0;0;0;NO; ; ; ; ;0;0;0;0;0;2014;0;0;0;2014;2739;Barranquilla;Barranquilla;99;5
10200178;2012;0;0;0;0;192;0;0;0;192;NO; ; ; ; ;0;0;0;0;0;2871;0;0;0;2871;63840;Bogotá;Bogotá;99;5
10401670;2012;0;0;0;0;0;0;0;0;0;NO; ; ; ; ;0;0;0;0;0;0;0;35;0;35;0;Cali;Cali;99;5
10207516;2012;0;0;0;0;8;0;0;0;8;NO; ; ; ; ;0;0;0;0;0;116;0;0;0;116;187;Bogotá;Bogotá;99;5
10207570;2012;0;0;0;0;68;0;0;0;68;NO; ; ; ; ;0;0;0;0;0;1020;0;0;0;1020;1540;Bogotá;Bogotá;99;5
297826670;2012;0;0;0;0;2845;0;0;0;2845;NO; ; ; ; ;0;0;0;0;0;22109;0;0;0;22109;34775;Barranquilla;Barranquilla;99;5
297826831;2012;0;240;8400;0;3141;0;0;0;3141;SI;a; ; ; ;9320;0;0;0;9320;17757;0;0;0;17757;41877;Barranquilla;Barranquilla;99;5
297826723;2012;0;0;1000;0;4500;0;0;0;4500;SI;a; ; ; ;7240;0;0;0;7240;28960;0;0;0;28960;55900;Barranquilla;Barranquilla;99;5
441900;2012;56345;4563;7876;2345;0;0;0;0;0;SI; ; ; ;d;0;0;10519;0;10519;0;0;0;0;0;0;Barranquilla;Cartagena;99;5
297826718;2012;0;0;1450;0;3401;1193;0;0;4594;SI;a; ; ; ;6881;0;0;0;6881;20643;0;0;0;20643;40978;Barranquilla;Barranquilla;99;5
297826953;2012;0;0;0;0;70;1650;0;0;1720;NO; ; ; ; ;0;0;0;0;0;904;0;0;0;904;1248;Barranquilla;Barranquilla;99;5
297826792;2012;0;1204;4040;0;510;3113;0;0;3623;SI; ;b; ; ;1345;0;0;0;1345;3005;0;0;0;3005;11021;Barranquilla;Barranquilla;99;5
297826898;2012;0;650;0;0;8907;0;0;0;8907;SI;a; ; ; ;17069;0;0;0;17069;49020;0;0;0;49020;103379;Barranquilla;Barranquilla;99;5
296886290;2012;0;0;0;0;306;0;0;0;306;NO; ; ; ; ;0;0;0;0;0;9846;0;0;0;9846;18642;Barranquilla;Cartagena;99;5
9816110;2012;0;0;0;0;250;0;0;0;250;SI;a; ; ; ;1298;0;0;0;1298;2490;0;0;0;2490;2447;Barranquilla;Barranquilla;99;5
9815988;2012;0;0;0;0;330;0;0;0;330;NO; ; ; ; ;0;0;0;0;0;3030;0;0;0;3030;4402;Barranquilla;Barranquilla;99;5
