Nro_Orden_Establecimiento;Periodo;C4RGC2;C4RGC4;C4RGC5;MANTRSCON;C4RGC6;CVPROGRSCONV;CVPROGRESPEL;C4RGA1aRO;C4RGA1cRO;RSORGRECICLA;C4RGA1bRO;C4RGA1dRO;RSORGVENTA;C4RGA1eRO;C4RGA2aPC;C4RGA2cPC;RSPAPELRECICLA;C4RGA2bPC;C4RGA2dPC;RSPAPELVENTA;C4RGA2ePC;C4RGA3aP;C4RGA3cP;RSPLASTRECICLA;C4RGA3bP;C4RGA3dP;RSPLASTVENTA;C4RGA3eP;C4RGA4aV;C4RGA4cV;RSVIDRIORECICLA;C4RGA4bV;C4RGA4dV;RSVIDRIOVENTA;C4RGA4eV;C4RGA5aMT;C4RGA5cMT;RSMETALRECICLA;C4RGA5bMT;C4RGA5dMT;RSMETALVENTA;C4RGA5eMT;C4RGA6aT;C4RGA6cT;RSTEXTILRECICLA;C4RGA6bT;C4RGA6dT;RSTEXTILVENTA;C4RGA6eT;C4RGA7aNMT;C4RGA7cNMT;RSNOMETALRECICLA;C4RGA7bNMT;C4RGA7dNMT;RSNOMETALVENTA;C4RGA7eNMT;RSMIXQ;RSMIXREUQ;RSMIXRECICLAQ;RSMIXDONAQ;RSMIXENTREGQ;RSMIXVENTAQ;RSMIXVENTAI;C4RGA8a;C4RGA8c;RSRECICLAT;C4RGA8b;C4RGA8d;RSVENTAT;C4RGA8e;C4RGA9VCRR;C4RGA10e;C4RGA10a;C4RGA10b;C4RGA10c;C4RGA10d;C4RGB1a;C4RGB1c;C4RGB1d;C4RGB1e;C4RGB1f;C4RGB3a;C4RGB3c;C4RGB3d;C4RGB3e;C4RGB3f;C4RGB4a;C4RGB4c;C4RGB4d;C4RGB4e;C4RGB4f;C4RGB5a;C4RGB5c;C4RGB5d;C4RGB5e;C4RGB5f;C4RGB6a;C4RGB6c;C4RGB6d;C4RGB6e;C4RGB6f;C4RGB7a;C4RGB7c;C4RGB7d;C4RGB7e;C4RGB7f;C4RGB8a;C4RGB8c;C4RGB8d;C4RGB8e;C4RGB8f;C4RGB9a;C4RGB9c;C4RGB9d;C4RGB9e;C4RGB9f;C4RGB10a;C4RGB10c;C4RGB10d;C4RGB10e;C4RGB10f;C4RGB11a;C4RGB11c;C4RGB11d;C4RGB11e;C4RGB11f;C4RGB12a;C4RGB12c;C4RGB12d;C4RGB12e;C4RGB12f;C4RGB13Ta;TOTALMA;TOTALAPROVE;TOTALTRAT;TOTALINCI;C4RGB2TOT;Sede;Subsede;NOVEDAD;ESTADO
371773;2012;0;460;0;0;1050;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1200;0;0;0;1200;0;0;1200;0;0;0;1200;0;0;1608;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ;0;0;0;0;0;0;Barranquilla;Barranquilla;99;5
10200178;2012;0;0;0;0;600;0;0;14060;0;0;0;14060;0;0;2100;0;0;0;2100;0;0;1050;0;0;0;1050;0;0;1360;0;0;0;1360;0;0;500;0;0;0;500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1500;0;0;0;1500;0;0;20570;0;0;0;20570;0;0;4950;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ;0;0;0;0;0;0;Bogotá;Bogotá;99;5
10401670;2012;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3000;0;0;3000;0;0;0;3000;0;0;3000;0;0;0;0;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ;0;0;0;0;0;0;Cali;Cali;99;5
10207516;2012;0;0;0;0;180;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3600;0;0;0;3600;0;0;3600;0;0;0;3600;0;0;96;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ;0;0;0;0;0;0;Bogotá;Bogotá;99;5
10207570;2012;0;0;0;0;80;0;0;0;0;0;0;0;0;0;200;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1400;0;0;0;1400;0;0;1600;200;0;0;1400;0;0;1750;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ;0;0;0;0;0;0;Bogotá;Bogotá;99;5
297826670;2012;6500;0;0;0;8999;0;0;2750;0;0;0;2750;0;0;3300;0;0;0;3300;0;0;1500;0;0;0;1500;0;0;560;0;0;0;560;0;0;0;0;0;0;0;0;0;700;0;0;0;700;0;0;0;0;0;0;0;0;0;90;0;0;0;90;0;0;8900;0;0;0;8900;0;0;7954;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ;0;0;0;0;0;0;Barranquilla;Barranquilla;99;5
297826831;2012;0;0;0;0;430;0;0;510;0;0;0;510;0;0;933;0;0;933;0;0;0;407;0;0;407;0;0;0;1274;0;0;1274;0;0;0;110;0;0;110;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;220;0;0;0;220;0;0;3454;0;0;2724;730;0;0;13887;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ;0;0;0;0;0;0;Barranquilla;Barranquilla;99;5
297826723;2012;2000;0;0;500;2000;0;0;188;0;0;0;188;0;0;10937;0;0;0;0;10937;1521;1076;0;0;0;0;1076;160;13217;0;0;0;0;13217;396;5;0;0;0;0;5;1;280000;0;0;280000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;305423;0;0;280000;188;25235;2078;16813;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ;0;0;0;0;0;0;Barranquilla;Barranquilla;99;5
441900;2012;456;1678;2345;564;4536;1234;1453;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3650;0;0;0;3650;0;0;3650;0;0;0;3650;0;0;7865;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ;0;0;0;0;0;0;Barranquilla;Cartagena;99;5
297826718;2012;0;0;0;0;7783;0;0;383;0;0;0;383;0;0;6636;1200;0;5436;0;0;0;2009;0;0;2009;0;0;0;12788;0;0;12788;0;0;0;45;0;0;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21861;1200;0;20278;383;0;0;34107;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ;0;0;0;0;0;0;Barranquilla;Barranquilla;99;5
