Nro_Orden_Establecimiento;Periodo;C5REA1;C5REA2;C5REA3;C5REA4;C5REA5;C5REA6;C5REA7;C5REA8;C5REA9;C5REA10;C6GAA2e;C6GAA1b;C5REB1a;C5REB1b;C5REB2a;C5REB2b;C5REB3a;C5REB3b;C5REB16a;C5REB16b;C5REB4a;C5REB4b;C5REB5a;C5REB5b;C5REB6a;C5REB6b;C5REB7a;C5REB7b;C5REB8a;C5REB8b;C5REB9a;C5REB9b;C5REB10a;C5REB10b;C5REB11a;C5REB12a;C5REB13a;C5REB14a;C5REB15a;C5REB15b;C5REB17a;C5REB17b;CONBIOGAS;C5REB18b;Sede;Subsede;NOVEDAD;ESTADO
371773;2012;0;0;0;0;0;0;0;0;0;2000;0;0;81113;34067;1800;1782;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35849;Barranquilla;Barranquilla;99;5
10200178;2012;0;0;0;0;0;0;0;0;0;0;0;0;58545;21279;23390;21893;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43172;Bogotá;Bogotá;99;5
10401670;2012;0;0;0;0;0;0;0;0;0;0;0;0;6894;4737;0;0;180;342;330;3300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8379;Cali;Cali;99;5
10207516;2012;0;0;0;0;0;0;0;0;0;900;0;0;35658;15410;4692;4617;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;240;1080;0;0;0;0;0;0;0;0;0;21107;Bogotá;Bogotá;99;5
10207570;2012;0;40;0;0;0;0;0;0;0;400;0;440;6897;2504;1598;1518;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4022;Bogotá;Bogotá;99;5
297826670;2012;0;0;500;0;0;0;0;0;0;13509;0;0;1824679;531557;77045;70496;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4265;0;0;0;0;0;602053;Barranquilla;Barranquilla;99;5
297826831;2012;0;0;0;0;0;0;0;0;12000;0;0;0;1101506;308421;42305;34060;0;0;0;0;75;546;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;343027;Barranquilla;Barranquilla;99;5
297826723;2012;0;0;0;0;0;0;0;0;10000;0;0;44000;2914934;830912;157341;139804;0;0;1101;9500;130;1100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;981316;Barranquilla;Barranquilla;99;5
441900;2012;1234;567;456;1789;5678;0;0;0;0;0;0;0;0;0;0;0;5396;5760;0;0;21957;180047;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;185807;Barranquilla;Cartagena;99;5
297826718;2012;0;0;0;0;0;0;0;0;0;0;0;0;3813790;1105999;88629;72446;0;0;0;0;555;4487;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1182932;Barranquilla;Barranquilla;99;5
297826953;2012;0;0;0;2500;0;0;0;0;0;0;0;0;645910;187313;13595;13608;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200921;Barranquilla;Barranquilla;99;5
