Nro_Orden_Establecimiento;Periodo;C6GAA2ab;C6GAA1e;C6GAA2d;C6GAA2f;C6GAA2g;C6GAA2h;C6GAA2i;C6GAAB1a;C6GAAB1b;C6GAAB1c;C6GAAB1d;C6GAAB2a;C6GAAB2b;C6GAAB2c;C6GAAB2d;C6GAAB3a;C6GAAB3b;C6GAAB3c;C6GAAB3d;C6GAAB4a;C6GAAB4b;C6GAAB4c;C6GAAB4d;POTPSFR;C6AAC1d;POTPERM;C6AAC2d;POTTCDE;C6AAC3d;POTTCAG;C6AAC4d;POTPAU;C6AAC5d;POTTOT;C6AAC6dT;GPPSI;GPPER;GPPPSP;GPPPST;GPPCPO;GPPANO;GPPAVO;GPPGPA;GPPGPN;GPPTPOT;GPPPTA;C6AAC1bRPA;C6AAC2bRPA;C6AAC3bRPA;C6AAC4bRPA;C6AAC5bRPA;C6AAC6bRPA;C6AAC7bRPA;C6AAC8bRPA;C6AAC9bRPA;C6AAC10bTRPA;C6AAC11bRPA;C6AA12bPSAAA;Sede;Subsede;NOVEDAD;ESTADO
371773;2012;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;0;0;0;0;7;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;84000;0;0;0;0;0;0;0;0;0;0;0;0;Barranquilla;Barranquilla;99;5
10200178;2012;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;14;0;0;0;0;0;1;0;15;0;0;175027;42695;0;38800;16425;0;5837;0;278784;0;0;0;0;0;0;0;0;0;0;0;0;0;Bogotá;Bogotá;99;5
10401670;2012;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;2;0;0;0;0;0;0;0;2;0;0;13601;3256;0;3947;1224;0;0;1627;23655;0;0;0;0;0;0;0;0;0;0;0;0;0;Cali;Cali;99;5
10207516;2012;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;7;0;0;0;5;0;0;0;12;0;0;61390;13401;0;12892;5525;447;0;5905;99560;77868;0;0;0;0;0;0;0;0;0;0;0;0;Bogotá;Bogotá;99;5
10207570;2012;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;0;2;0;0;0;0;0;0;0;4;0;0;13601;2834;0;2930;1224;0;0;814;21403;0;0;0;0;0;0;0;0;0;0;0;0;0;Bogotá;Bogotá;99;5
297826670;2012;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;28;0;45;0;3;0;5;0;81;0;0;417665;93725;620702;232942;93453;0;23583;55030;1537100;61995;0;0;0;0;0;0;0;0;0;0;0;0;Barranquilla;Barranquilla;99;5
297826831;2012;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;5;0;44;0;2;0;4;0;56;0;0;137045;27501;566272;124136;48010;2952;16976;36309;959201;111792;0;0;0;0;0;0;0;0;0;0;0;0;Barranquilla;Barranquilla;99;5
297826723;2012;0;0;100;200;0;0;0;a; ; ; ; ; ; ; ;a; ; ; ;a; ; ; ;0;0;47;0;0;0;171;0;2;0;220;0;0;1040256;246188;0;224195;93015;0;10200;190412;1804266;3102961;0;0;0;0;0;0;0;0;0;0;0;0;Barranquilla;Barranquilla;99;5
441900;2012;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ;a; ; ; ;0;0;42;12;0;0;0;0;3;0;45;12;0;302400;63474;0;63571;27216;0;18540;0;475201;0;0;86400;32530;0;18163;7776;0;0;0;144869;3456;0;Barranquilla;Cartagena;99;5
297826718;2012;0;0;0;0;0;0;0; ;b;31/08/2012;30/08/2015; ; ; ; ; ; ; ; ; ;b;16/07/2012;31/03/2014;0;0;139;0;0;0;45;0;5;0;189;0;427058;1713228;470206;0;437721;189421;0;28374;196370;3462378;654139;0;0;0;0;0;0;0;0;0;0;0;0;Barranquilla;Barranquilla;99;5
297826953;2012;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;0;42;0;0;0;0;0;1;0;45;0;0;398047;227101;0;84367;35824;0;4812;23661;773812;0;0;0;0;0;0;0;0;0;0;0;0;0;Barranquilla;Barranquilla;99;5
297826792;2012;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;62;15;0;0;13;0;0;0;76;15;0;569933;256305;0;116683;52114;0;0;21766;1016801;168532;0;42000;24000;0;12000;3200;0;0;0;81200;0;0;Barranquilla;Barranquilla;99;5
297826898;2012;0;0;0;0;0;0;0;a; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;114;0;0;0;11;0;1;0;126;0;0;1496253;748126;0;334190;145251;38241;3892;1176511;3942464;741143;0;0;0;0;0;0;0;0;0;0;0;0;Barranquilla;Barranquilla;99;5
