Nro_Orden_Establecimiento;Periodo;C4RGC2;C4RGC4;C4RGC5;MANTRSCON;C4RGC6;CVPROGRSCONV;CVPROGRESPEL;TOTARSOL;C4RGA1aRO;C4RGA1cRO;RSORGRECICLA;C4RGA1bRO;C4RGA1dRO;RSORGVENTA;C4RGA1eRO;C4RGA2aPC;C4RGA2cPC;RSPAPELRECICLA;C4RGA2bPC;C4RGA2dPC;RSPAPELVENTA;C4RGA2ePC;C4RGA3aP;C4RGA3cP;RSPLASTRECICLA;C4RGA3bP;C4RGA3dP;RSPLASTVENTA;C4RGA3eP;C4RGA4aV;C4RGA4cV;RSVIDRIORECICLA;C4RGA4bV;C4RGA4dV;RSVIDRIOVENTA;C4RGA4eV;C4RGA5aMT;C4RGA5cMT;RSMETALRECICLA;C4RGA5bMT;C4RGA5dMT;RSMETALVENTA;C4RGA5eMT;C4RGA6aT;C4RGA6cT;RSTEXTILRECICLA;C4RGA6bT;C4RGA6dT;RSTEXTILVENTA;C4RGA6eT;C4RGA7aNMT;C4RGA7cNMT;RSNOMETALRECICLA;C4RGA7bNMT;C4RGA7dNMT;RSNOMETALVENTA;C4RGA7eNMT;RSMIXQ;RSMIXREUQ;RSMIXRECICLAQ;RSMIXDONAQ;RSMIXENTREGQ;RSMIXVENTAQ;RSMIXVENTAI;C4RGA8a;C4RGA8c;RSRECICLAT;C4RGA8b;C4RGA8d;RSVENTAT;C4RGA8e;C4RGA9VCRR;C4RGA10e;C4RGA10a;C4RGA10b;C4RGA10c;C4RGA10d;C4RGB1a;C4RGB1c;C4RGB1d;C4RGB1e;C4RGB1f;C4RGB3a;C4RGB3c;C4RGB3d;C4RGB3e;C4RGB3f;C4RGB4a;C4RGB4c;C4RGB4d;C4RGB4e;C4RGB4f;C4RGB5a;C4RGB5c;C4RGB5d;C4RGB5e;C4RGB5f;C4RGB6a;C4RGB6c;C4RGB6d;C4RGB6e;C4RGB6f;C4RGB7a;C4RGB7c;C4RGB7d;C4RGB7e;C4RGB7f;C4RGB8a;C4RGB8c;C4RGB8d;C4RGB8e;C4RGB8f;C4RGB9a;C4RGB9c;C4RGB9d;C4RGB9e;C4RGB9f;C4RGB10a;C4RGB10c;C4RGB10d;C4RGB10e;C4RGB10f;C4RGB11a;C4RGB11c;C4RGB11d;C4RGB11e;C4RGB11f;Otro_Respel_01;C4RGB12a;C4RGB12c;C4RGB12d;C4RGB12e;C4RGB12f;Otro_Respel_02;V13a;V13c;V13d;V13e;V13f;Otro_Respel_03;V14a;V14c;V14d;V14e;V14f;C4RGB13Ta;TOTALMA;TOTALAPROVE;TOTALTRAT;TOTALINCI;C4RGB2TOT;Sede;CODSUBSEDE;Subsede;NOVEDAD;ESTADO
371773;2013;200;500;0;0;1100;0;0;1800;190;0;0;0;190;0;0;160;0;120;0;40;0;0;50;0;30;0;20;0;0;140;0;0;140;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;0;0;0;60;0;0;640;0;150;140;350;0;0;1586;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;Barranquilla;1;Barranquilla;99;5
442290;2013;0;0;0;0;200;0;0;200;240;0;0;240;0;0;0;30;0;0;0;30;0;0;30;0;0;0;30;0;0;20;0;0;0;20;0;0;20;0;0;0;20;0;0;50;50;0;0;0;0;0;20;0;0;0;20;0;0;10;0;0;0;10;0;0;438;50;0;240;148;0;0;800;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;Barranquilla;22;San Andrés;99;5
125800;2013;720;180;500;5000;300;0;0;6700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56400;0;0;0;56400;0;0;56401;0;0;0;56401;0;0;16920; ; ; ; ;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;Barranquilla;1;Barranquilla;99;5
297826960;2013;2000;0;0;300;500;0;0;2800;5200;0;0;5200;0;0;0;30;0;0;30;0;0;0;104;0;0;0;0;104;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;0;0;0;0;0;0;0;0;0;0;0;0;1092;0;0;0;1092;0;0;6904;10;0;5230;1560;104;21;2513;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;Bogotá;2;Bogotá;99;5
297821378;2013;0;0;0;0;210;0;0;210;4424;1985;985;0;1454;0;0;280;100;0;0;180;0;0;220;0;0;0;220;0;0;32;0;0;0;32;0;0;160;0;0;0;160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;269;0;0;0;269;0;0;5974;2085;985;0;2904;0;0;4680;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;Bogotá;18;Villavicencio;99;5
444265;2013;2000;0;0;0;900;0;0;2900;4784;0;0;4784;0;0;0;956;945;0;0;11;0;0;95;0;0;0;95;0;0;9;0;0;0;9;0;0;19;0;0;0;0;19;25;1;0;0;0;1;0;0;2;2;0;0;0;0;0;5875;0;0;0;5875;0;0;11777;947;0;4784;6027;19;25;576;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;Bucaramanga;10;Cúcuta;99;5
297730497;2013;226;0;0;0;932;0;0;1158;1200;0;0;1200;0;0;0;600;0;0;600;0;0;0;820;0;0;820;0;0;0;90;0;0;90;0;0;0;32;0;0;32;0;0;0;10;0;0;10;0;0;0;10;0;0;0;10;0;0;142;0;0;0;142;0;0;3774;0;0;2752;1022;0;0;4800;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;Manizales;7;Pereira;99;5
297822798;2013;3000;200;3000;200;5000;10000;1000;22400;360;0;0;0;360;0;0;200;0;0;200;0;0;0;150;0;0;150;0;0;0;100;0;0;100;0;0;0;100;0;0;100;0;0;0;100;0;0;100;0;0;0;500;0;0;500;0;0;0;200;0;0;0;200;0;0;1910;0;0;1150;760;0;0;576;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;Medellín;6;Medellín;99;5
297826670;2013;3000;0;0;0;9000;0;5000;17000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7300;0;0;0;7300;0;0;8800;0;0;0;8800;0;0;6900;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;Barranquilla;1;Barranquilla;99;5
297826831;2013;0;0;0;0;450;0;0;450;530;0;0;0;530;0;0;945;0;0;945;0;0;0;200;0;0;200;0;0;0;1000;0;0;1000;0;0;0;120;0;0;120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;400;0;0;0;400;0;0;3595;0;0;2265;1330;0;0;14562;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;Barranquilla;1;Barranquilla;99;5
