Nro_Orden_Establecimiento;Periodo;C6GAA2ab;C6GAA1e;C6GAA2d;C6GAA2f;C6GAA2g;C6GAA2h;C6GAA2i;TOTALGAA;C6GAAB1a;C6GAAB1b;C6GAAB1c;C6GAAB1d;C6GAAB2a;C6GAAB2b;C6GAAB2c;C6GAAB2d;C6GAAB3a;C6GAAB3b;C6GAAB3c;C6GAAB3d;C6GAAB4a;C6GAAB4b;C6GAAB4c;C6GAAB4d;POTPSFR;C6AAC1d;POTPERM;C6AAC2d;POTTCDE;C6AAC3d;POTTCAG;C6AAC4d;POTPAU;C6AAC5d;POTTOT;C6AAC6dT;GPPSI;GPPER;GPPPSP;GPPPST;GPPCPO;GPPANO;GPPAVO;GPPGPA;GPPGPN;GPPTPOT;GPPPTA;C6AAC1bRPA;C6AAC2bRPA;C6AAC3bRPA;C6AAC4bRPA;C6AAC5bRPA;C6AAC6bRPA;C6AAC7bRPA;C6AAC8bRPA;C6AAC9bRPA;C6AAC10bTRPA;C6AAC11bRPA;C6AA12bPSAAA;CODSEDE;Sede;CODSUBSEDE;Subsede;NOVEDAD;ESTADO
371773;2013;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;1;0;0;0;7;0;0;0;9;0;1300;15600;3250;0;3900;1404;0;0;0;25454;88933;0;0;0;0;0;0;0;0;0;0;0;0;1;Barranquilla;1;Barranquilla;99;5
442290;2013;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;10;0;0;0;0;0;0;0;11;0;0;84720;17100;0;16250;7625;0;0;8460;134155;0;0;0;0;0;0;0;0;0;0;0;0;0;1;Barranquilla;22;San Andrés;99;5
125800;2013;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;1;0;0;0;0;0;0;0;1;0;0;20000;10000;0;4380;1800;0;0;0;36180;0;0;0;0;0;0;0;0;0;0;0;0;0;1;Barranquilla;1;Barranquilla;99;5
297826960;2013;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;0;24;0;0;0;0;0;4;0;30;0;0;196128;45360;0;44280;19440;0;14136;19872;339216;0;0;0;0;0;0;0;0;0;0;0;0;0;2;Bogotá;2;Bogotá;99;5
297821378;2013;0;0;0;0;0;0;0;0; ; ; ; ;a; ; ; ; ; ; ; ; ; ; ; ;1;0;25;0;0;0;0;0;1;0;27;0;0;198000;43223;0;33528;17820;0;3537;0;296108;0;0;0;0;0;0;0;0;0;0;0;0;0;2;Bogotá;18;Villavicencio;99;5
444265;2013;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;32;0;0;0;0;0;0;0;32;0;0;226368;49423;0;46344;20373;0;0;26304;368812;0;0;0;0;0;0;0;0;0;0;0;0;0;3;Bucaramanga;10;Cúcuta;99;5
297730497;2013;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;37;0;0;0;0;0;2;0;39;0;0;366428;82408;0;77056;32978;0;10611;0;569481;0;0;0;0;0;0;0;0;0;0;0;0;0;5;Manizales;7;Pereira;99;5
297822798;2013;0;0;0;200;0;0;0;200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;0;0;0;0;0;25;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;309686;0;0;0;0;0;0;0;0;0;0;0;0;6;Medellín;6;Medellín;99;5
297826670;2013;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;25;1;45;0;3;0;5;0;78;1;0;351011;76626;773068;227099;62260;0;25500;142871;1658435;35887;0;24000;4800;0;5280;2160;0;0;0;36240;0;0;1;Barranquilla;1;Barranquilla;99;5
297826831;2013;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;67;0;0;0;2;0;2;0;72;0;0;702495;357954;0;144000;61720;2952;8620;37521;1315262;113452;0;0;0;0;0;0;0;0;0;0;0;0;1;Barranquilla;1;Barranquilla;99;5
297826723;2013;0;0;100;200;0;0;0;300; ;b;26/07/2006;25/07/2015; ; ; ; ; ;b;18/11/2011;17/11/2014; ;b;18/11/2011;17/11/2014;0;0;49;0;0;0;184;0;2;0;235;0;0;1222854;266949;0;305713;59676;0;10560;218900;2084652;3191131;0;0;0;0;0;0;0;0;0;0;0;0;1;Barranquilla;1;Barranquilla;99;5
441900;2013;2856;7458;0;0;0;0;0;10314;a; ; ; ; ; ; ; ; ; ; ; ;a; ; ; ;1;1;33;7;0;0;0;0;3;0;37;8;0;291312;68028;0;59874;26218;0;19044;0;464476;0;0;41256;9820;0;12287;3125;0;0;0;66488;0;0;1;Barranquilla;9;Cartagena;99;5
297826718;2013;0;0;0;0;0;0;0;0; ;b;31/08/2012;30/08/2015; ; ; ; ; ; ; ; ; ;b;04/01/2012;04/01/2013;0;0;126;1;0;0;56;0;7;0;189;1;0;1691432;443633;0;425293;131446;0;37453;183413;2912670;862195;0;14052;3068;0;4075;1265;0;0;846;23306;0;0;1;Barranquilla;1;Barranquilla;99;5
297826953;2013;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;0;44;0;0;0;0;0;1;0;47;0;0;372090;81860;0;85580;33488;0;5017;81229;659264;0;0;0;0;0;0;0;0;0;0;0;0;0;1;Barranquilla;1;Barranquilla;99;5
297826792;2013;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;0;0;0;0;75;72;2;0;78;72;0;0;0;0;0;0;0;10611;4069;14680;837564;0;0;0;0;0;0;0;0;0;0;0;1195911;1;Barranquilla;1;Barranquilla;99;5
297826898;2013;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;112;0;0;0;9;0;1;0;122;0;0;1636526;748126;0;342903;145251;19637;3892;738022;3634357;794996;0;0;0;0;0;0;0;0;0;0;0;0;1;Barranquilla;1;Barranquilla;99;5
296886290;2013;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;35;0;0;0;10;0;2;0;47;0;0;333499;78616;0;71539;23500;0;7266;980;515400;96000;0;0;0;0;0;0;0;0;0;0;0;0;1;Barranquilla;9;Cartagena;99;5
9816110;2013;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;1;0;40;0;0;0;2;0;43;0;0;12000;4636;396564;70559;29177;0;10608;0;523544;0;0;0;0;0;0;0;0;0;0;0;0;0;1;Barranquilla;1;Barranquilla;99;5
9815988;2013;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;0;21;0;0;0;0;0;1;0;24;0;0;184704;50350;0;39432;17680;0;6576;18670;317412;0;0;0;0;0;0;0;0;0;0;0;0;0;1;Barranquilla;1;Barranquilla;99;5
297826722;2013;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;0;29;0;0;0;0;0;2;0;33;0;0;224043;54003;0;37908;15925;0;7750;22842;362471;0;0;0;0;0;0;0;0;0;0;0;0;0;1;Barranquilla;1;Barranquilla;99;5
297827969;2013;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;0;22;0;0;0;10;0;2;0;38;0;0;208116;66669;0;62434;18730;0;10612;50852;417413;199451;0;0;0;0;0;0;0;0;0;0;0;0;1;Barranquilla;1;Barranquilla;99;5
297819041;2013;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;64;0;0;0;1;0;3;0;68;0;0;897964;209989;0;215365;48261;0;15754;325615;1712948;13223;0;0;0;0;0;0;0;0;0;0;0;0;1;Barranquilla;1;Barranquilla;99;5
452218;2013;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;2;0;82;0;18;0;4;0;106;0;98880;45150;14078;1441245;285733;110500;0;20776;45487;2061849;224368;0;0;0;0;0;0;0;0;0;0;0;0;1;Barranquilla;1;Barranquilla;99;5
441772;2013;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;1;0;0;0;22;0;1;0;24;0;0;7920;1645;0;1320;713;0;3960;0;15558;369600;0;0;0;0;0;0;0;0;0;0;0;0;1;Barranquilla;1;Barranquilla;99;5
441802;2013;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;4;0;0;0;40;0;0;0;44;0;0;108703;23915;0;22828;10870;0;0;4206;170522;415499;0;0;0;0;0;0;0;0;0;0;0;0;1;Barranquilla;1;Barranquilla;99;5
441854;2013;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;12;5;0;0;14;6;0;0;26;11;0;168962;41172;0;39842;15565;0;0;7638;273179;292269;0;6758;1647;0;1594;623;0;0;305;10927;0;11690;1;Barranquilla;1;Barranquilla;99;5
297826799;2013;600;0;0;120;0;0;0;720;a; ; ; ;a; ; ; ; ;b;18/06/2013;17/07/2016; ; ; ; ;0;0;30;0;0;0;0;0;2;0;32;0;0;277861;64816;0;58604;25077;0;8971;74042;509371;0;0;0;0;0;0;0;0;0;0;0;0;0;2;Bogotá;2;Bogotá;99;5
297718659;2013;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ;b;01/12/2010;30/11/2013; ;b;01/12/2010;30/11/2013;0;0;30;0;0;0;0;0;0;0;30;0;0;324082;72183;0;55650;17881;0;0;0;469796;0;0;0;0;0;0;0;0;0;0;0;1434;0;2;Bogotá;2;Bogotá;99;5
297826796;2013;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;35;0;0;0;7;0;2;0;44;0;57147;512305;143363;0;121611;38792;0;10609;2642;886469;99468;0;0;0;0;0;0;0;0;0;0;0;0;2;Bogotá;2;Bogotá;99;5
297827958;2013;0;0;2000;500;0;0;0;2500; ;b;14/09/2005;12/09/2014; ; ; ; ; ;b;28/07/2010;27/07/2013; ; ; ; ;0;0;55;0;0;0;0;0;5;0;60;0;0;604048;217457;0;151012;60404;0;23270;0;1056191;0;0;0;0;0;0;0;0;0;0;0;0;0;2;Bogotá;2;Bogotá;99;5
297827000;2013;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ;b;01/04/2013;31/03/2014;0;0;43;0;0;0;2;0;3;0;48;0;0;659629;170214;0;152177;55000;0;16845;145974;1199839;30000;0;0;0;0;0;0;0;0;0;0;0;0;2;Bogotá;2;Bogotá;99;5
414681;2013;0;0;0;0;0;560;SE CONTRIBUYE CON PROGRAMAS A LA ALCALDIA PARA PROYECTOS DE ACTIVIDAD COMPENSATORIA EN IMPACTOS AMBI;560; ;b;17/09/2012;16/09/2015; ; ; ; ; ;b;17/08/2012;16/08/2013; ;b;17/08/2012;16/08/2013;0;0;67;0;0;0;7;0;3;0;77;0;168570;701659;188273;0;179466;51610;0;16270;171867;1477715;120582;0;0;0;0;0;0;0;0;0;0;0;0;2;Bogotá;2;Bogotá;99;5
382101;2013;0;0;0;0;0;0;0;0; ;b;04/10/2011;10/09/2016; ; ; ; ; ; ; ; ; ; ; ; ;0;0;23;0;0;0;11;0;1;0;35;0;0;292373;71151;0;65090;26313;0;5117;27399;487443;156527;0;0;0;0;0;0;0;0;0;0;9550;0;4;Cali;15;Popayán;99;5
297826978;2013;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ;a; ; ; ;a; ; ; ;0;0;109;0;18;0;17;0;4;0;148;0;147911;1335678;357947;460384;401516;124000;0;17865;174762;3020063;260000;0;0;0;0;0;0;0;0;0;0;0;0;2;Bogotá;2;Bogotá;99;5
297826677;2013;0;0;0;0;0;0;0;0; ;b;28/06/2012;27/06/2015; ; ; ; ;a; ; ; ;a; ; ; ;0;0;12;0;0;0;42;1;0;0;54;1;0;300472;77168;0;70271;27042;0;0;33264;508217;765489;0;0;0;0;0;0;0;0;0;0;0;28984;2;Bogotá;2;Bogotá;99;5
297826828;2013;0;0;0;500;0;0;0;500; ; ; ; ; ;b;04/11/2012;03/11/2014; ;b;04/11/2012;03/11/2014; ; ; ; ;0;0;96;0;1;0;0;0;4;0;101;0;165180;1591905;396170;13809;369631;121000;0;21605;336754;3016054;0;0;0;0;0;0;0;0;0;0;0;0;0;2;Bogotá;2;Bogotá;99;5
297826830;2013;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ;a; ; ; ;0;0;48;0;0;0;2;0;1;0;51;0;0;805655;180982;0;185022;59100;0;3450;0;1234209;29567;0;0;0;0;0;0;0;0;0;0;0;0;2;Bogotá;2;Bogotá;99;5
452491;2013;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;20;0;0;0;0;0;1;0;21;0;0;264755;55184;0;58477;21775;0;4200;12470;416861;0;0;0;0;0;0;0;0;0;0;0;0;0;1;Barranquilla;9;Cartagena;99;5
9807355;2013;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;172;1;0;0;0;0;9;0;181;1;143927;2661613;680337;0;595901;266161;0;47936;556289;4952164;0;0;23642;5911;0;4728;2128;0;0;0;36409;0;0;2;Bogotá;2;Bogotá;99;5
297826832;2013;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ;b;01/04/2013;31/03/2014;0;0;46;0;0;0;1;0;3;0;50;0;0;765195;185647;0;166227;48087;0;14693;51165;1231014;55000;0;0;0;0;0;0;0;0;0;0;0;0;2;Bogotá;2;Bogotá;99;5
297826833;2013;0;0;0;2000;0;0;0;2000; ;b;22/01/2007;07/07/2016; ; ; ; ;a; ; ; ;a; ; ; ;0;0;220;0;0;0;49;0;9;0;278;0;504677;3588309;799076;0;785954;225253;27196;43673;681981;6656119;720697;0;0;0;0;0;0;0;0;0;0;0;0;2;Bogotá;2;Bogotá;99;5
297826834;2013;0;0;0;1240;0;0;0;1240; ; ; ; ; ; ; ; ; ;b;28/01/2011;27/01/2014; ; ; ; ;0;0;160;1;0;0;41;0;8;0;209;1;183690;2395358;595592;0;558475;154020;0;44722;173199;4105056;658986;0;14082;3190;0;2335;1267;0;0;0;20874;0;0;2;Bogotá;2;Bogotá;99;5
452129;2013;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;0;11;0;0;0;0;0;0;0;13;0;0;99730;21759;0;21044;8966;0;0;0;151499;0;0;0;0;0;0;0;0;0;0;0;0;0;2;Bogotá;2;Bogotá;99;5
9807356;2013;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;0;10;0;0;0;0;0;0;0;12;0;0;80853;16841;0;16997;7276;0;0;0;121967;0;0;0;0;0;0;0;0;0;0;0;0;0;2;Bogotá;2;Bogotá;99;5
9807357;2013;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;0;12;0;0;0;0;0;0;0;14;0;0;113581;23659;0;23877;10222;0;0;0;171339;0;0;0;0;0;0;0;0;0;0;0;0;0;2;Bogotá;2;Bogotá;99;5
297826941;2013;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;0;25;0;0;0;0;0;2;0;29;0;120000;349121;87105;0;91716;19202;0;8223;40540;715907;0;0;0;0;0;0;0;0;0;0;0;0;0;2;Bogotá;2;Bogotá;99;5
297826946;2013;0;0;0;1200;0;0;0;1200; ; ; ; ; ; ; ; ; ;b;12/11/2013;11/11/2016; ;b;12/11/2013;11/11/2016;0;0;90;4;0;0;3;0;4;0;97;4;110952;1327306;330329;0;306987;94749;0;27000;281092;2478415;295886;0;66365;16516;0;15349;4700;0;0;14794;117724;0;0;2;Bogotá;2;Bogotá;99;5
297826982;2013;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;0;8;0;66;2;0;0;2;0;80;2;0;298523;65675;784601;205693;59500;4093;10608;46914;1475607;0;0;0;0;23776;4900;1806;0;0;0;30482;2100;0;2;Bogotá;2;Bogotá;99;5
296886228;2013;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;117;0;0;0;33;0;0;0;150;0;0;1592136;840448;0;336098;116579;0;0;0;2885261;2099002;0;0;0;0;0;0;0;0;0;0;0;0;1;Barranquilla;9;Cartagena;99;5
297826663;2013;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ;b;28/01/2011;27/01/2014; ; ; ; ;0;0;2;0;39;0;0;0;2;0;43;0;0;120026;26405;839941;137639;54390;0;12760;0;1191161;0;0;0;0;0;0;0;0;0;0;0;0;0;2;Bogotá;2;Bogotá;99;5
297826985;2013;0;0;60;2500;0;0;0;2560; ; ; ; ; ; ; ; ;a; ; ; ;a; ; ; ;0;0;42;1;0;0;7;0;3;0;52;1;0;554596;132323;0;122030;50983;0;17253;123987;1001172;112021;0;12600;2762;0;3218;914;0;0;864;20358;0;0;2;Bogotá;2;Bogotá;99;5
297826986;2013;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;74;0;0;0;20;0;4;0;98;0;190236;1388066;316314;0;322557;124925;0;21540;295540;2659178;221317;0;0;0;0;0;0;0;0;0;0;0;0;2;Bogotá;2;Bogotá;99;5
