Nro_Orden_Establecimiento;Periodo;IDDEPTO;CODSEDE;Sede;CODSUBSEDE;Subsede;NOVEDAD;ESTADO
371773;2013;8;1;Barranquilla;1;Barranquilla;99;5
442290;2013;88;1;Barranquilla;22;San Andrés;99;5
125800;2013;8;1;Barranquilla;1;Barranquilla;99;5
297826960;2013;11;2;Bogotá;2;Bogotá;99;5
297821378;2013;50;2;Bogotá;18;Villavicencio;99;5
444265;2013;54;3;Bucaramanga;10;Cúcuta;99;5
297730497;2013;76;5;Manizales;7;Pereira;99;5
297822798;2013;5;6;Medellín;6;Medellín;99;5
297826670;2013;8;1;Barranquilla;1;Barranquilla;99;5
297826831;2013;8;1;Barranquilla;1;Barranquilla;99;5
297826723;2013;8;1;Barranquilla;1;Barranquilla;99;5
441900;2013;13;1;Barranquilla;9;Cartagena;99;5
297826718;2013;8;1;Barranquilla;1;Barranquilla;99;5
297826953;2013;8;1;Barranquilla;1;Barranquilla;99;5
297826792;2013;8;1;Barranquilla;1;Barranquilla;99;5
297826898;2013;8;1;Barranquilla;1;Barranquilla;99;5
296886290;2013;13;1;Barranquilla;9;Cartagena;99;5
9816110;2013;8;1;Barranquilla;1;Barranquilla;99;5
9815988;2013;8;1;Barranquilla;1;Barranquilla;99;5
297826722;2013;8;1;Barranquilla;1;Barranquilla;99;5
297827969;2013;8;1;Barranquilla;1;Barranquilla;99;5
297819041;2013;8;1;Barranquilla;1;Barranquilla;99;5
452218;2013;11;1;Barranquilla;1;Barranquilla;99;5
441772;2013;8;1;Barranquilla;1;Barranquilla;99;5
441802;2013;8;1;Barranquilla;1;Barranquilla;99;5
441854;2013;8;1;Barranquilla;1;Barranquilla;99;5
297826799;2013;11;2;Bogotá;2;Bogotá;99;5
297718659;2013;11;2;Bogotá;2;Bogotá;99;5
297826796;2013;11;2;Bogotá;2;Bogotá;99;5
297827958;2013;11;2;Bogotá;2;Bogotá;99;5
297827000;2013;11;2;Bogotá;2;Bogotá;99;5
414681;2013;11;2;Bogotá;2;Bogotá;99;5
382101;2013;11;4;Cali;15;Popayán;99;5
297826978;2013;11;2;Bogotá;2;Bogotá;99;5
297826677;2013;11;2;Bogotá;2;Bogotá;99;5
297826828;2013;11;2;Bogotá;2;Bogotá;99;5
297826830;2013;11;2;Bogotá;2;Bogotá;99;5
452491;2013;11;1;Barranquilla;9;Cartagena;99;5
9807355;2013;11;2;Bogotá;2;Bogotá;99;5
297826832;2013;11;2;Bogotá;2;Bogotá;99;5
297826833;2013;11;2;Bogotá;2;Bogotá;99;5
297826834;2013;11;2;Bogotá;2;Bogotá;99;5
452129;2013;11;2;Bogotá;2;Bogotá;99;5
9807356;2013;11;2;Bogotá;2;Bogotá;99;5
9807357;2013;11;2;Bogotá;2;Bogotá;99;5
297826941;2013;11;2;Bogotá;2;Bogotá;99;5
297826946;2013;11;2;Bogotá;2;Bogotá;99;5
297826982;2013;11;2;Bogotá;2;Bogotá;99;5
296886228;2013;11;1;Barranquilla;9;Cartagena;99;5
297826663;2013;11;2;Bogotá;2;Bogotá;99;5
297826985;2013;11;2;Bogotá;2;Bogotá;99;5
297826986;2013;11;2;Bogotá;2;Bogotá;99;5
297838044;2013;11;2;Bogotá;17;Tunja;99;5
409910;2013;11;5;Manizales;11;Ibagué;99;5
450883;2013;11;2;Bogotá;2;Bogotá;99;5
297839484;2013;11;2;Bogotá;2;Bogotá;99;5
299303284;2013;11;2;Bogotá;2;Bogotá;99;5
337133;2013;11;2;Bogotá;2;Bogotá;99;5
75000;2013;11;1;Barranquilla;16;Santa Marta;99;5
75007;2013;11;2;Bogotá;2;Bogotá;99;5
410376;2013;11;1;Barranquilla;16;Santa Marta;99;5
296886229;2013;11;1;Barranquilla;16;Santa Marta;99;5
296914023;2013;11;1;Barranquilla;16;Santa Marta;99;5
297718272;2013;11;2;Bogotá;2;Bogotá;99;5
297826922;2013;11;2;Bogotá;2;Bogotá;99;5
451251;2013;11;1;Barranquilla;9;Cartagena;99;5
451446;2013;11;1;Barranquilla;16;Santa Marta;99;5
455513;2013;11;2;Bogotá;2;Bogotá;99;5
9807403;2013;11;2;Bogotá;2;Bogotá;99;5
297730683;2013;11;4;Cali;4;Cali;99;5
296886232;2013;11;2;Bogotá;2;Bogotá;99;5
296886233;2013;11;2;Bogotá;2;Bogotá;99;5
296886234;2013;11;2;Bogotá;2;Bogotá;99;5
296886235;2013;11;2;Bogotá;2;Bogotá;99;5
296886236;2013;11;2;Bogotá;2;Bogotá;99;5
3834328;2013;11;2;Bogotá;2;Bogotá;99;5
297826903;2013;11;2;Bogotá;2;Bogotá;99;5
451463;2013;11;2;Bogotá;2;Bogotá;99;5
451466;2013;11;2;Bogotá;2;Bogotá;99;5
297826734;2013;11;2;Bogotá;2;Bogotá;99;5
297826735;2013;11;2;Bogotá;2;Bogotá;99;5
452253;2013;11;2;Bogotá;2;Bogotá;99;5
296886239;2013;11;5;Manizales;11;Ibagué;99;5
452256;2013;25;5;Manizales;11;Ibagué;99;5
297826882;2013;11;2;Bogotá;2;Bogotá;99;5
297826889;2013;11;2;Bogotá;2;Bogotá;99;5
297826988;2013;11;2;Bogotá;2;Bogotá;99;5
457978;2013;11;2;Bogotá;2;Bogotá;99;5
457979;2013;11;2;Bogotá;2;Bogotá;99;5
297718280;2013;11;2;Bogotá;2;Bogotá;99;5
451402;2013;11;2;Bogotá;2;Bogotá;99;5
297826991;2013;11;2;Bogotá;2;Bogotá;99;5
9807346;2013;11;2;Bogotá;2;Bogotá;99;5
9807408;2013;11;2;Bogotá;2;Bogotá;99;5
297826672;2013;11;2;Bogotá;2;Bogotá;99;5
297838058;2013;11;2;Bogotá;2;Bogotá;99;5
297827017;2013;11;2;Bogotá;2;Bogotá;99;5
297826791;2013;11;2;Bogotá;2;Bogotá;99;5
297826945;2013;11;2;Bogotá;2;Bogotá;99;5
297838050;2013;11;2;Bogotá;91;Leticia;99;5
299303287;2013;11;2;Bogotá;2;Bogotá;99;5
9815066;2013;11;2;Bogotá;2;Bogotá;99;5
297823688;2013;11;2;Bogotá;2;Bogotá;99;5
297821685;2013;11;2;Bogotá;2;Bogotá;99;5
450816;2013;11;2;Bogotá;2;Bogotá;99;5
74977;2013;11;2;Bogotá;2;Bogotá;99;5
407032;2013;11;2;Bogotá;2;Bogotá;99;5
297824160;2013;11;2;Bogotá;2;Bogotá;99;5
297834339;2013;11;2;Bogotá;2;Bogotá;99;5
297822959;2013;11;2;Bogotá;2;Bogotá;99;5
297822527;2013;11;2;Bogotá;2;Bogotá;99;5
297826739;2013;11;2;Bogotá;2;Bogotá;99;5
297823552;2013;11;2;Bogotá;2;Bogotá;99;5
297822516;2013;11;2;Bogotá;2;Bogotá;99;5
449312;2013;11;2;Bogotá;2;Bogotá;99;5
297825166;2013;11;2;Bogotá;2;Bogotá;99;5
297820854;2013;11;2;Bogotá;2;Bogotá;99;5
297823234;2013;11;2;Bogotá;2;Bogotá;99;5
297826977;2013;11;2;Bogotá;2;Bogotá;99;5
297826749;2013;11;2;Bogotá;2;Bogotá;99;5
297823613;2013;11;2;Bogotá;2;Bogotá;99;5
297827058;2013;11;2;Bogotá;2;Bogotá;99;5
297823853;2013;11;2;Bogotá;2;Bogotá;99;5
297824060;2013;11;2;Bogotá;2;Bogotá;99;5
297824123;2013;11;2;Bogotá;2;Bogotá;99;5
297823455;2013;11;2;Bogotá;2;Bogotá;99;5
297823642;2013;11;2;Bogotá;2;Bogotá;99;5
297818827;2013;11;2;Bogotá;2;Bogotá;99;5
297823431;2013;11;2;Bogotá;2;Bogotá;99;5
297839499;2013;11;2;Bogotá;2;Bogotá;99;5
297823062;2013;11;2;Bogotá;2;Bogotá;99;5
297827337;2013;11;2;Bogotá;2;Bogotá;99;5
413402;2013;11;2;Bogotá;2;Bogotá;99;5
297822677;2013;11;2;Bogotá;2;Bogotá;99;5
297826662;2013;11;2;Bogotá;2;Bogotá;99;5
297822990;2013;11;2;Bogotá;2;Bogotá;99;5
450886;2013;11;2;Bogotá;2;Bogotá;99;5
297823265;2013;11;2;Bogotá;2;Bogotá;99;5
297823601;2013;11;2;Bogotá;2;Bogotá;99;5
297821402;2013;11;2;Bogotá;2;Bogotá;99;5
297823258;2013;11;2;Bogotá;2;Bogotá;99;5
297819921;2013;11;2;Bogotá;2;Bogotá;99;5
408533;2013;11;2;Bogotá;2;Bogotá;99;5
450869;2013;11;2;Bogotá;2;Bogotá;99;5
297823316;2013;11;2;Bogotá;2;Bogotá;99;5
297826835;2013;11;2;Bogotá;2;Bogotá;99;5
165923;2013;11;2;Bogotá;2;Bogotá;99;5
297826497;2013;11;2;Bogotá;2;Bogotá;99;5
297820374;2013;11;2;Bogotá;2;Bogotá;99;5
297819999;2013;11;2;Bogotá;2;Bogotá;99;5
297823669;2013;11;2;Bogotá;2;Bogotá;99;5
297834076;2013;11;2;Bogotá;2;Bogotá;99;5
299303245;2013;11;2;Bogotá;2;Bogotá;99;5
441267;2013;11;2;Bogotá;2;Bogotá;99;5
441565;2013;11;2;Bogotá;2;Bogotá;99;5
441566;2013;11;2;Bogotá;2;Bogotá;99;5
441567;2013;11;2;Bogotá;2;Bogotá;99;5
441568;2013;11;2;Bogotá;2;Bogotá;99;5
441569;2013;11;2;Bogotá;2;Bogotá;99;5
441570;2013;11;2;Bogotá;2;Bogotá;99;5
450863;2013;11;2;Bogotá;2;Bogotá;99;5
297823534;2013;11;2;Bogotá;2;Bogotá;99;5
299303246;2013;11;2;Bogotá;2;Bogotá;99;5
297824086;2013;11;2;Bogotá;2;Bogotá;99;5
447079;2013;11;2;Bogotá;2;Bogotá;99;5
297826870;2013;11;2;Bogotá;2;Bogotá;99;5
297826640;2013;11;2;Bogotá;2;Bogotá;99;5
297826980;2013;11;2;Bogotá;2;Bogotá;99;5
299304555;2013;11;2;Bogotá;2;Bogotá;99;5
297826975;2013;11;2;Bogotá;2;Bogotá;99;5
297839506;2013;11;2;Bogotá;2;Bogotá;99;5
9807441;2013;11;2;Bogotá;2;Bogotá;99;5
9807448;2013;11;2;Bogotá;2;Bogotá;99;5
441825;2013;11;1;Barranquilla;16;Santa Marta;99;5
9795548;2013;11;2;Bogotá;18;Villavicencio;99;5
297826990;2013;11;2;Bogotá;2;Bogotá;99;5
297826738;2013;11;2;Bogotá;2;Bogotá;99;5
297839497;2013;11;2;Bogotá;2;Bogotá;99;5
297826642;2013;11;2;Bogotá;2;Bogotá;99;5
297718322;2013;11;2;Bogotá;2;Bogotá;99;5
297826647;2013;11;2;Bogotá;2;Bogotá;99;5
9815979;2013;47;1;Barranquilla;16;Santa Marta;99;5
299303285;2013;11;2;Bogotá;2;Bogotá;99;5
448987;2013;11;2;Bogotá;2;Bogotá;99;5
297730503;2013;11;1;Barranquilla;16;Santa Marta;99;5
297718312;2013;11;2;Bogotá;2;Bogotá;99;5
297718302;2013;11;2;Bogotá;2;Bogotá;99;5
