Nro_Orden_Establecimiento;Periodo;NUMHAB;NUMCAMA;IHPN;IHPT;CODSEDE;Sede;CODSUBSEDE;Subsede;NOVEDAD;ESTADO
442290;2014;24;56;9104;2753;1;Barranquilla;22;San Andrés;99;5
125800;2014;70;112;7897;2129;1;Barranquilla;1;Barranquilla;99;5
297826960;2014;101;139;23012;11009;2;Bogotá;2;Bogotá;99;5
297821378;2014;50;70;3600;2500;2;Bogotá;18;Villavicencio;99;5
444265;2014;75;128;29767;11907;3;Bucaramanga;10;Cúcuta;99;5
297822798;2014;127;302;21817;13812;6;Medellín;6;Medellín;99;5
297826670;2014;112;151;14747;14187;1;Barranquilla;1;Barranquilla;99;5
297826831;2014;72;105;17981;10237;1;Barranquilla;1;Barranquilla;99;5
297826723;2014;176;221;56630;53531;1;Barranquilla;1;Barranquilla;99;5
441900;2014;44;132;28080;11232;1;Barranquilla;9;Cartagena;99;5
297838192;2014;780;3900;12549;9252;1;Barranquilla;1;Barranquilla;99;5
297826718;2014;142;191;61935;61935;1;Barranquilla;1;Barranquilla;99;5
297826953;2014;77;297;30884;29341;1;Barranquilla;1;Barranquilla;99;5
297826792;2014;105;210;19101;10699;1;Barranquilla;1;Barranquilla;99;5
297826898;2014;193;363;22963;22218;1;Barranquilla;1;Barranquilla;99;5
296886290;2014;79;280;45081;18104;1;Barranquilla;9;Cartagena;99;5
9816110;2014;77;104;25623;11248;1;Barranquilla;1;Barranquilla;99;5
9815988;2014;75;171;9272;4600;1;Barranquilla;1;Barranquilla;99;5
297826722;2014;49;59;6797;6643;1;Barranquilla;1;Barranquilla;99;5
297827969;2014;44;96;6065;2322;1;Barranquilla;1;Barranquilla;99;5
297819041;2014;118;136;38430;37316;1;Barranquilla;1;Barranquilla;99;5
452218;2014;126;189;45622;45622;1;Barranquilla;1;Barranquilla;99;5
441772;2014;58;116;25144;14704;1;Barranquilla;1;Barranquilla;99;5
441802;2014;76;152;26320;25307;1;Barranquilla;1;Barranquilla;99;5
408986;2014;56;64;6238;5888;1;Barranquilla;1;Barranquilla;99;5
441854;2014;11;54;2490;2490;1;Barranquilla;1;Barranquilla;99;5
10101150;2014;125;125;24272;24272;1;Barranquilla;1;Barranquilla;99;5
297827591;2014;86;105;15171;10702;1;Barranquilla;1;Barranquilla;99;5
10101152;2014;50;90;9605;9524;1;Barranquilla;1;Barranquilla;99;5
10101153;2014;49;192;6215;6215;1;Barranquilla;1;Barranquilla;99;5
10101289;2014;123;173;2544;2544;1;Barranquilla;1;Barranquilla;99;5
10101290;2014;51;72;4900;3267;1;Barranquilla;1;Barranquilla;99;5
297818562;2014;10;20;775;775;1;Barranquilla;1;Barranquilla;99;5
297826799;2014;32;42;5327;3774;2;Bogotá;2;Bogotá;99;5
297718659;2014;54;85;18145;9123;2;Bogotá;2;Bogotá;99;5
297826796;2014;35;42;6429;6257;2;Bogotá;2;Bogotá;99;5
297827958;2014;82;188;38304;19419;2;Bogotá;2;Bogotá;99;5
297827000;2014;66;80;22777;21777;2;Bogotá;2;Bogotá;99;5
414681;2014;97;133;24773;24312;2;Bogotá;2;Bogotá;99;5
382101;2014;47;117;8580;6304;4;Cali;15;Popayán;99;5
297826978;2014;336;563;72936;44726;2;Bogotá;2;Bogotá;99;5
297826677;2014;75;89;15593;12303;2;Bogotá;2;Bogotá;99;5
297826828;2014;102;107;26577;25767;2;Bogotá;2;Bogotá;99;5
297826830;2014;62;168;17729;12187;2;Bogotá;2;Bogotá;99;5
452491;2014;18;25;8321;2778;1;Barranquilla;9;Cartagena;99;5
9807355;2014;251;502;63997;52967;2;Bogotá;2;Bogotá;99;5
297826832;2014;70;140;19091;7504;2;Bogotá;2;Bogotá;99;5
297826833;2014;327;424;82250;77130;2;Bogotá;2;Bogotá;99;5
297826834;2014;216;347;89119;64787;2;Bogotá;2;Bogotá;99;5
452129;2014;65;118;16327;8106;2;Bogotá;2;Bogotá;99;5
9807356;2014;44;90;8253;3301;2;Bogotá;2;Bogotá;99;5
9807357;2014;52;104;15161;8619;2;Bogotá;2;Bogotá;99;5
297826941;2014;36;62;8188;5271;2;Bogotá;2;Bogotá;99;5
297826946;2014;96;120;28681;19593;2;Bogotá;2;Bogotá;99;5
297826982;2014;100;186;36638;24739;2;Bogotá;2;Bogotá;99;5
296886228;2014;89;198;40159;25464;1;Barranquilla;9;Cartagena;99;5
