Nro_Orden_Establecimiento;Periodo;C3RHE1;C3RHE2;C3RHE5;PROGAHORR;TOTALARH;C3RHC1PTU;C3RHC4RCASUP;C3RHC5RCASUB;C3RHC6PMS;MULTABAS;C3RHC7TOGT;C3RHA1cAC;C3RHA1dAC;VOCONSBL;VACONSBLQ;C3RHA5cCT;C3RHA5dCT;VOLBOTLL;VRBOTLL;C3RHA6cALL;C3RHA7cTVU1;C3RHA7dTVPCA;C3RHA2aSUP;C3RHA2bSUP;FECHADESDESUP;FECHAHASTASUP;C3RHA2cSUP;C3RHA3aSUB;C3RHA3bSUB;FECHADESDESUB;FECHAHASTASUB;C3RHA3cSUB;C3RHA4aAM;C3RHA4bAM;FECHADESDEMAR;FECHAHASTAMAR;C3RHA4cAM;C3RHA7aTVC;C3RHA7bTPC;C3RHA7cTVU2;C3RHA7cTVU;CODSEDE;Sede;CODSUBSEDE;Subsede;NOVEDAD;ESTADO
442290;2014;0;0;0;0;0;0;0;0;0;0;0;510;1254;0;0;30;420;0;0;550;1090;1674;0;0; ; ;0;720;0; ; ;720;0;0; ; ;0;720;0;720;1810;1;Barranquilla;22;San Andrés;99;5
125800;2014;0;0;0;0;0;68;0;0;0;0;68;1504;3609;0;0;0;0;0;0;0;1504;3609;0;0; ; ;0;2160;0;01/01/2014;31/12/2016;2160;0;0; ; ;0;2160;0;2160;3664;1;Barranquilla;1;Barranquilla;99;5
297826960;2014;0;0;0;0;0;5;0;0;0;0;5;1030;2586;0;0;0;0;0;0;0;1030;2586;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;1030;2;Bogotá;2;Bogotá;99;5
297821378;2014;0;0;20000;20000;40000;26;0;0;0;0;26;2300;5900;0;0;0;0;0;0;0;2300;5900;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;2300;2;Bogotá;18;Villavicencio;99;5
444265;2014;0;0;0;0;0;0;0;0;0;0;0;6415;6988;0;0;0;0;0;0;0;6415;6988;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;6415;3;Bucaramanga;10;Cúcuta;99;5
297822798;2014;0;0;1000;0;1000;5;0;0;0;0;5;2503;2770;0;0;0;0;0;0;0;2503;2770;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;2503;6;Medellín;6;Medellín;99;5
297826670;2014;0;0;0;0;0;30;0;0;0;0;30;17603;45774;0;0;0;0;0;0;0;17603;45774;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;17603;1;Barranquilla;1;Barranquilla;99;5
297826831;2014;0;0;0;0;0;41;0;0;0;0;41;23461;60955;0;0;0;0;0;0;0;23461;60955;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;23461;1;Barranquilla;1;Barranquilla;99;5
297826723;2014;0;0;0;0;0;48;0;0;0;0;48;27813;72651;0;0;0;0;0;0;0;27813;72651;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;27813;1;Barranquilla;1;Barranquilla;99;5
441900;2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6231;23522;0;0;3280;9511;23522;0;0; ; ;0;0;0; ; ;0;10237;156789; ; ;8765;10237;156789;8765;18276;1;Barranquilla;9;Cartagena;99;5
297838192;2014;0;0;0;0;0;47;0;126;0;0;173;28636;69952;0;0;0;0;0;0;0;28636;69952;0;0; ; ;0;15552;1740;14/03/2013;14/03/2018;15552;0;0; ; ;0;15552;1740;15552;44188;1;Barranquilla;1;Barranquilla;99;5
297826718;2014;0;0;0;0;0;64;0;0;0;0;64;36779;95913;0;0;0;0;0;0;0;36779;95913;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;36779;1;Barranquilla;1;Barranquilla;99;5
297826953;2014;0;0;0;0;0;1;0;0;0;0;1;1022;2608;0;0;0;0;0;0;0;1022;2608;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;1022;1;Barranquilla;1;Barranquilla;99;5
297826792;2014;0;0;0;0;0;9;0;0;0;0;9;5383;14752;0;0;0;0;0;0;0;5383;14752;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;5383;1;Barranquilla;1;Barranquilla;99;5
297826898;2014;0;0;0;0;0;122;0;0;0;0;122;71256;180291;0;0;0;0;0;0;0;71256;180291;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;71256;1;Barranquilla;1;Barranquilla;99;5
296886290;2014;0;0;0;0;0;91;0;0;0;0;91;14202;33048;0;0;0;0;0;0;0;14202;33048;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;14202;1;Barranquilla;9;Cartagena;99;5
9816110;2014;0;4500;2500;500;7500;2;0;0;0;0;2;1362;3583;0;0;0;0;0;0;0;1362;3583;0;0; ; ;0;1800;0; ; ;1800;0;0; ; ;0;1800;0;1800;3162;1;Barranquilla;1;Barranquilla;99;5
9815988;2014;0;0;0;0;0;3;0;0;0;0;3;2026;5329;0;0;0;0;0;0;0;2026;5329;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;2026;1;Barranquilla;1;Barranquilla;99;5
297826722;2014;3100;1800;5600;0;10500;247;0;0;0;0;247;8246;21655;0;0;0;0;0;0;0;8246;21655;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;8246;1;Barranquilla;1;Barranquilla;99;5
297827969;2014;0;0;0;0;0;2;0;2780;0;0;2782;1624;4323;0;0;0;0;0;0;0;1624;4323;0;0; ; ;0;1200;1480;19/02/2014;19/02/2015;528;0;0; ; ;0;1200;1480;528;2152;1;Barranquilla;1;Barranquilla;99;5
297819041;2014;0;0;350;1000;1350;25;0;0;0;0;25;15318;40003;7;5880;0;0;0;0;0;15325;45883;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;15325;1;Barranquilla;1;Barranquilla;99;5
452218;2014;0;0;0;0;0;31;0;0;0;0;31;17648;46102;0;0;0;0;3;936;0;17651;47038;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;17651;1;Barranquilla;1;Barranquilla;99;5
441772;2014;0;0;0;0;0;13;0;0;0;0;13;7893;20758;0;0;0;0;0;0;0;7893;20758;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;7893;1;Barranquilla;1;Barranquilla;99;5
441802;2014;0;0;0;0;0;19;0;0;0;0;19;5872;14974;0;0;0;0;0;0;0;5872;14974;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;5872;1;Barranquilla;1;Barranquilla;99;5
408986;2014;0;0;0;0;0;0;0;0;0;0;0;2913;7713;0;0;0;0;0;0;0;2913;7713;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;2913;1;Barranquilla;1;Barranquilla;99;5
441854;2014;0;0;0;0;0;12776;0;35;0;0;12811;4317;12776;0;0;0;0;0;0;0;4317;12776;0;0; ; ;0;21600;35;11/09/2012;11/09/2017;12551;0;0; ; ;0;21600;35;12551;16868;1;Barranquilla;1;Barranquilla;99;5
10101150;2014;0;0;0;0;0;9;0;0;0;0;9;11235;30818;0;0;0;0;0;0;0;11235;30818;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;11235;1;Barranquilla;1;Barranquilla;99;5
297827591;2014;0;0;0;0;0;0;0;0;0;0;0;3169;8628;0;0;0;0;0;0;0;3169;8628;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;3169;1;Barranquilla;1;Barranquilla;99;5
10101152;2014;0;0;0;0;0;6;0;0;0;0;6;3702;9737;0;0;0;0;0;0;0;3702;9737;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;3702;1;Barranquilla;1;Barranquilla;99;5
10101153;2014;0;0;0;0;0;72;0;2218;0;0;2290;1417;3726;0;0;0;0;0;0;0;1417;3726;0;0; ; ;0;8985;2218;27/06/2008;27/06/2013;8985;0;0; ; ;0;8985;2218;8985;10402;1;Barranquilla;1;Barranquilla;99;5
