Nro_Orden_Establecimiento;Periodo;C3RHE3;C3RHE4;C4VERTIADAPT;C6GAA1f;TOTALAVERTI;C3RHD1PTRV;C3RHD2PPVP;C3RHD3PMSV;MULTAVERT;C3RHD4TGTV;C3RHB1TAR;C3RHB2a;C3RHB2b;C3RHB2c;C3RHB2d;C3RHB3a3A;C3RHB3b3A;C3RHB3c3A;C3RHB3d3A;C3RHB3eT3A;C3RHB3a3B;C3RHB3b3B;C3RHB3c3B;C3RHB3d3B;C3RHB3eT3B;TOTVERTIDA;C3RHB4VAL;CODSEDE;Sede;CODSUBSEDE;Subsede;NOVEDAD;ESTADO
442290;2014;0;0;1600;0;1600;0;0;0;0;0;NO; ; ; ; ;0;0;0;0;0;0;0;1200;0;1200;1200;0;1;Barranquilla;22;San Andrés;99;5
125800;2014;0;0;0;0;0;222;0;0;0;222;NO; ; ; ; ;0;0;0;0;0;3664;0;0;0;3664;3664;5129;1;Barranquilla;1;Barranquilla;99;5
297826960;2014;0;0;0;0;0;72;0;0;0;72;SI;a; ; ; ;51;0;0;0;51;979;0;0;0;979;1030;1663;2;Bogotá;2;Bogotá;99;5
297821378;2014;0;0;0;0;0;154;1;0;0;155;NO; ; ; ; ;0;0;0;0;0;2300;0;0;0;2300;2300;1089;2;Bogotá;18;Villavicencio;99;5
444265;2014;0;0;0;0;0;0;0;0;0;0;NO; ; ; ; ;0;0;0;0;0;6415;0;0;0;6415;6415;2540;3;Bucaramanga;10;Cúcuta;99;5
297822798;2014;0;0;210;0;210;67;0;0;0;67;NO; ; ; ; ;0;0;0;0;0;2503;0;0;0;2503;2503;4397;6;Medellín;6;Medellín;99;5
297826670;2014;0;700;0;0;700;1457;0;0;0;1457;SI;a; ; ; ;5281;0;0;0;5281;12322;0;0;0;12322;17603;26025;1;Barranquilla;1;Barranquilla;99;5
297826831;2014;0;336;4718;0;5054;3433;0;0;0;3433;SI;a; ; ; ;8211;0;0;0;8211;15250;0;0;0;15250;23461;34668;1;Barranquilla;1;Barranquilla;99;5
297826723;2014;0;0;0;0;0;2305;1;0;0;2306;SI;a; ; ; ;5514;0;0;0;5514;22299;0;0;0;22299;27813;43632;1;Barranquilla;1;Barranquilla;99;5
441900;2014;0;9289;5691;0;14980;0;0;0;0;0;SI; ; ;c; ;0;0;18276;0;18276;0;0;0;0;0;18276;0;1;Barranquilla;9;Cartagena;99;5
