Nro_Orden_Establecimiento;Periodo;C4RGC2;C4RGC4;C4RGC5;MANTRSCON;C4RGC6;CVPROGRSCONV;CVPROGRESPEL;TOTARSOL;C4RGACL;C4RGA1aRO;C4RGA1cRO;RSORGRECICLA;C4RGA1bRO;C4RGA1dRO;RSORGVENTA;C4RGA1eRO;C4RGA2aPC;C4RGA2cPC;RSPAPELRECICLA;C4RGA2bPC;C4RGA2dPC;RSPAPELVENTA;C4RGA2ePC;C4RGA3aP;C4RGA3cP;RSPLASTRECICLA;C4RGA3bP;C4RGA3dP;RSPLASTVENTA;C4RGA3eP;C4RGA4aV;C4RGA4cV;RSVIDRIORECICLA;C4RGA4bV;C4RGA4dV;RSVIDRIOVENTA;C4RGA4eV;C4RGA5aMT;C4RGA5cMT;RSMETALRECICLA;C4RGA5bMT;C4RGA5dMT;RSMETALVENTA;C4RGA5eMT;C4RGA6aT;C4RGA6cT;RSTEXTILRECICLA;C4RGA6bT;C4RGA6dT;RSTEXTILVENTA;C4RGA6eT;C4RGA7aNMT;C4RGA7cNMT;RSNOMETALRECICLA;C4RGA7bNMT;C4RGA7dNMT;RSNOMETALVENTA;C4RGA7eNMT;RSMIXQ;RSMIXREUQ;RSMIXRECICLAQ;RSMIXDONAQ;RSMIXENTREGQ;RSMIXVENTAQ;RSMIXVENTAI;C4RGA8a;C4RGA8c;RSRECICLAT;C4RGA8b;C4RGA8d;RSVENTAT;C4RGA8e;C4RGA9VCRR;C4RGA10e;C4RGA10a;C4RGA10b;C4RGA10c;C4RGA10d;C4RGB1a;C4RGB1c;C4RGB1d;C4RGB1e;C4RGB1f;C4RGB3a;C4RGB3c;C4RGB3d;C4RGB3e;C4RGB3f;C4RGB4a;C4RGB4c;C4RGB4d;C4RGB4e;C4RGB4f;C4RGB5a;C4RGB5c;C4RGB5d;C4RGB5e;C4RGB5f;C4RGB6a;C4RGB6c;C4RGB6d;C4RGB6e;C4RGB6f;C4RGB7a;C4RGB7c;C4RGB7d;C4RGB7e;C4RGB7f;C4RGB8a;C4RGB8c;C4RGB8d;C4RGB8e;C4RGB8f;C4RGB9a;C4RGB9c;C4RGB9d;C4RGB9e;C4RGB9f;C4RGB10a;C4RGB10c;C4RGB10d;C4RGB10e;C4RGB10f;C4RGB11a;C4RGB11c;C4RGB11d;C4RGB11e;C4RGB11f;Otro_Respel_01;C4RGB12a;C4RGB12c;C4RGB12d;C4RGB12e;C4RGB12f;Otro_Respel_02;V13a;V13c;V13d;V13e;V13f;Otro_Respel_03;V14a;V14c;V14d;V14e;V14f;C4RGB13Ta;TOTALMA;TOTALAPROVE;TOTALTRAT;TOTALINCI;C4RGB2TOT;Sede;CODSUBSEDE;Subsede;NOVEDAD;ESTADO
442290;2014;0;0;0;0;225;0;0;225;NO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;530;60;0;0;470;0;0;530;60;0;0;470;0;0;897;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;Barranquilla;22;San Andrés;99;5
125800;2014;0;0;600;0;360;0;0;960;NO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52020;0;0;0;52020;0;0;52020;0;0;0;52020;0;0;15349;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;Barranquilla;1;Barranquilla;99;5
297826960;2014;0;0;0;600;500;0;0;1100;SI;2920;0;0;2920;0;0;0;200;0;0;0;0;200;100;150;0;0;0;0;150;61;60;0;0;0;60;0;0;0;0;0;0;0;0;0;400;0;0;400;0;0;0;1200;0;0;0;1200;0;0;1540;0;0;0;1540;0;0;6470;0;0;3320;2800;350;161;2119;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;Bogotá;2;Bogotá;99;5
297821378;2014;3000;1000;0;1000;200;500;500;6200;SI;1800;0;0;0;1800;0;0;780;400;280;100;0;0;0;800;200;300;100;200;0;0;600;100;400;100;0;0;0;700;50;650;0;0;0;0;40;0;0;40;0;0;0;200;0;0;0;200;0;0;500;0;0;0;500;0;0;5420;750;1630;340;2700;0;0;4180;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;Bogotá;18;Villavicencio;99;5
444265;2014;0;0;0;0;5000;0;0;5000;SI;1920;0;0;1920;0;0;0;2400;1200;0;1200;0;0;0;240;0;0;240;0;0;0;0;0;0;0;0;0;0;576;0;0;489;87;0;0;50;50;0;0;0;0;0;1000;0;0;900;100;0;0;1200;0;0;0;1200;0;0;7386;1250;0;4749;1387;0;0;527;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;Bucaramanga;10;Cúcuta;99;5
297822798;2014;0;0;0;0;4700;0;0;4700;SI;353;0;0;0;353;0;0;196;0;0;196;0;0;0;146;0;0;146;0;0;0;98;0;0;98;0;0;0;110;0;0;110;0;0;0;0;0;0;0;0;0;0;320;0;0;320;0;0;0;372;0;0;0;372;0;0;1595;0;0;870;725;0;0;571;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;Medellín;6;Medellín;99;5
297826670;2014;0;0;0;0;2319;0;0;2319;SI;0;0;0;0;0;0;0;1657;0;0;1657;0;0;0;827;0;0;827;0;0;0;1093;0;0;1093;0;0;0;574;0;0;574;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22417;0;0;0;22417;0;0;26568;0;0;4151;22417;0;0;6944;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;Barranquilla;1;Barranquilla;99;5
297826831;2014;3230;0;0;200;685;0;0;4115;SI;0;0;0;0;0;0;0;2173;0;0;2173;0;0;0;165;0;0;165;0;0;0;520;0;0;520;0;0;0;40;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27917;0;0;0;27917;0;0;30815;0;0;2898;27917;0;0;10601;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;Barranquilla;1;Barranquilla;99;5
297826723;2014;0;0;0;5000;3000;0;0;8000;SI;3560;0;0;0;3560;0;0;4875;0;0;0;0;4875;1700;228;0;0;0;0;228;57;3900;0;0;0;0;3900;117;70;0;0;0;0;70;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12633;0;0;0;3560;9073;1881;17934;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;Barranquilla;1;Barranquilla;99;5
441900;2014;0;0;12345;5654;8765;0;0;26764;SI;4865;0;0;0;4865;0;0;86;0;0;0;86;0;0;34;0;0;0;34;0;0;77;0;0;0;77;0;0;0;0;0;0;0;0;0;5;0;0;0;5;0;0;21;0;0;0;21;0;0;0;0;0;0;0;0;0;5088;0;0;0;5088;0;0;15634; ; ; ;X; ;0;0;0;0;0;20;20;0;0;0;15;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;35;20;0;0;15;2347;Barranquilla;9;Cartagena;99;5
