Nro_Orden_Establecimiento;Periodo;INSERTOT;CODSEDE;Sede;CODSUBSEDE;Subsede;NOVEDAD;ESTADO
297826960;2015;1537626;2;Bogotá;2;Bogotá;99;5
297821378;2015;706362;2;Bogotá;18;Villavicencio;99;5
444265;2015;914859;3;Bucaramanga;10;Cúcuta;99;5
297822798;2015;1533245;6;Medellín;6;Medellín;99;5
297826670;2015;3003000;1;Barranquilla;1;Barranquilla;99;5
297826831;2015;4713000;1;Barranquilla;1;Barranquilla;99;5
297826723;2015;14369702;1;Barranquilla;1;Barranquilla;99;5
441900;2015;6672677;1;Barranquilla;9;Cartagena;99;5
297838192;2015;2660296;1;Barranquilla;1;Barranquilla;99;5
297826718;2015;16341292;1;Barranquilla;1;Barranquilla;99;5
297826953;2015;4004118;1;Barranquilla;1;Barranquilla;99;5
297826792;2015;4054538;1;Barranquilla;1;Barranquilla;99;5
296886290;2015;3960762;1;Barranquilla;9;Cartagena;99;5
9816110;2015;2074542;1;Barranquilla;1;Barranquilla;99;5
9815988;2015;1723078;1;Barranquilla;1;Barranquilla;99;5
297826722;2015;1127533;1;Barranquilla;1;Barranquilla;99;5
297827969;2015;1197274;1;Barranquilla;1;Barranquilla;99;5
297819041;2015;7381219;1;Barranquilla;1;Barranquilla;99;5
452218;2015;8087455;1;Barranquilla;1;Barranquilla;99;5
441772;2015;2157818;1;Barranquilla;1;Barranquilla;99;5
441802;2015;3485755;1;Barranquilla;1;Barranquilla;99;5
408986;2015;1171021;1;Barranquilla;1;Barranquilla;99;5
441854;2015;1302027;1;Barranquilla;1;Barranquilla;99;5
10101150;2015;5272240;1;Barranquilla;1;Barranquilla;99;5
297827591;2015;3519601;1;Barranquilla;1;Barranquilla;99;5
300470906;2015;5008330;1;Barranquilla;1;Barranquilla;99;5
10101289;2015;6080978;1;Barranquilla;1;Barranquilla;99;5
300470907;2015;1176347;1;Barranquilla;1;Barranquilla;99;5
300470908;2015;2034699;1;Barranquilla;1;Barranquilla;99;5
300470909;2015;36569;1;Barranquilla;1;Barranquilla;99;5
300470910;2015;713379;1;Barranquilla;1;Barranquilla;99;5
1771148;2015;800000;1;Barranquilla;1;Barranquilla;99;5
10101357;2015;1088811;1;Barranquilla;1;Barranquilla;99;5
10101358;2015;441177;1;Barranquilla;1;Barranquilla;99;5
297826799;2015;513869;2;Bogotá;2;Bogotá;99;5
297718659;2015;911000;2;Bogotá;2;Bogotá;99;5
297826796;2015;3265484;2;Bogotá;2;Bogotá;99;5
