Nro_Orden_Establecimiento;Periodo;C4RGC2;C4RGC4;C4RGC5;MANTRSCON;C4RGC6;CVPROGRSCONV;CVPROGRESPEL;TOTARSOL;C4RGACL;C4RGA1aRO;C4RGA1cRO;RSORGRECICLA;C4RGA1bRO;C4RGA1dRO;RSORGVENTA;C4RGA1eRO;C4RGA2aPC;C4RGA2cPC;RSPAPELRECICLA;C4RGA2bPC;C4RGA2dPC;RSPAPELVENTA;C4RGA2ePC;C4RGA3aP;C4RGA3cP;RSPLASTRECICLA;C4RGA3bP;C4RGA3dP;RSPLASTVENTA;C4RGA3eP;C4RGA4aV;C4RGA4cV;RSVIDRIORECICLA;C4RGA4bV;C4RGA4dV;RSVIDRIOVENTA;C4RGA4eV;C4RGA5aMT;C4RGA5cMT;RSMETALRECICLA;C4RGA5bMT;C4RGA5dMT;RSMETALVENTA;C4RGA5eMT;C4RGA6aT;C4RGA6cT;RSTEXTILRECICLA;C4RGA6bT;C4RGA6dT;RSTEXTILVENTA;C4RGA6eT;C4RGA7aNMT;C4RGA7cNMT;RSNOMETALRECICLA;C4RGA7bNMT;C4RGA7dNMT;RSNOMETALVENTA;C4RGA7eNMT;RSMIXQ;RSMIXREUQ;RSMIXRECICLAQ;RSMIXDONAQ;RSMIXENTREGQ;RSMIXVENTAQ;RSMIXVENTAI;C4RGA8a;C4RGA8c;RSRECICLAT;C4RGA8b;C4RGA8d;RSVENTAT;C4RGA8e;C4RGA9VCRR;C4RGA10e;C4RGA10a;C4RGA10b;C4RGA10c;C4RGA10d;C4RGB1a;C4RGB1c;C4RGB1d;C4RGB1e;C4RGB1f;C4RGB3a;C4RGB3c;C4RGB3d;C4RGB3e;C4RGB3f;C4RGB4a;C4RGB4c;C4RGB4d;C4RGB4e;C4RGB4f;C4RGB5a;C4RGB5c;C4RGB5d;C4RGB5e;C4RGB5f;C4RGB6a;C4RGB6c;C4RGB6d;C4RGB6e;C4RGB6f;C4RGB7a;C4RGB7c;C4RGB7d;C4RGB7e;C4RGB7f;C4RGB8a;C4RGB8c;C4RGB8d;C4RGB8e;C4RGB8f;C4RGB9a;C4RGB9c;C4RGB9d;C4RGB9e;C4RGB9f;C4RGB10a;C4RGB10c;C4RGB10d;C4RGB10e;C4RGB10f;C4RGB11a;C4RGB11c;C4RGB11d;C4RGB11e;C4RGB11f;Otro_Respel_01;C4RGB12a;C4RGB12c;C4RGB12d;C4RGB12e;C4RGB12f;Otro_Respel_02;V13a;V13c;V13d;V13e;V13f;Otro_Respel_03;V14a;V14c;V14d;V14e;V14f;C4RGB13Ta;TOTALMA;TOTALAPROVE;TOTALTRAT;TOTALINCI;C4RGB2TOT;CODSEDE;Sede;CODSUBSEDE;Subsede;NOVEDAD;ESTADO
297826960;2015;1000;0;0;0;1000;0;0;2000;SI;1800;0;0;1800;0;0;0;1800;50;0;0;50;1700;650;100;50;0;0;50;0;0;50;0;0;0;50;0;0;150;0;0;0;0;150;500;100;0;0;100;0;0;0;10;0;0;0;10;0;0;1500;0;0;0;1500;0;0;5510;100;0;1900;1660;1850;1150;2200;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;2;Bogotá;2;Bogotá;99;5
297821378;2015;234;0;5980;0;185;0;0;6399;SI;2330;0;0;0;2330;0;0;930;730;0;0;200;0;0;280;0;200;0;80;0;0;380;0;0;0;380;0;0;50;0;0;0;50;0;0;235;120;0;0;115;0;0;220;0;0;0;220;0;0;0;0;0;0;0;0;0;4425;850;200;0;3375;0;0;3980;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;2;Bogotá;18;Villavicencio;99;5
444265;2015;1200;0;0;70;3360;0;0;4630;SI;4200;0;0;0;4200;0;0;180;0;0;180;0;0;0;200;0;0;200;0;0;0;40;0;0;40;0;0;0;60;0;0;60;0;0;0;5;0;0;5;0;0;0;0;0;0;0;0;0;0;3215;0;0;0;3215;0;0;7900;0;0;485;7415;0;0;144;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;3;Bucaramanga;10;Cúcuta;99;5
297822798;2015;500;0;2500;1000;2000;0;0;6000;SI;2168;0;0;0;2168;0;0;469;0;0;469;0;0;0;469;0;0;469;0;0;0;1407;0;0;1407;0;0;0;469;0;0;469;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4982;0;0;2814;2168;0;0;900;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;6;Medellín;6;Medellín;99;5
297826670;2015;0;0;0;0;2510;0;0;2510;SI;0;0;0;0;0;0;0;1710;0;0;1710;0;0;0;887;0;0;887;0;0;0;1150;0;0;1150;0;0;0;654;0;0;654;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23612;0;0;0;23612;0;0;28013;0;0;4401;23612;0;0;7150;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;1;Barranquilla;1;Barranquilla;99;5
297826831;2015;0;0;0;0;2208;0;0;2208;SI;0;0;0;0;0;0;0;1877;0;0;1877;0;0;0;24;0;0;24;0;0;0;560;0;0;560;0;0;0;9;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35850;0;0;0;35850;0;0;38320;0;0;2461;35859;0;0;11489;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;1;Barranquilla;1;Barranquilla;99;5
297826723;2015;0;0;0;6000;4000;0;0;10000;SI;3800;0;0;0;3800;0;0;5000;0;0;0;0;5000;50;250;0;0;0;0;250;25;4100;0;0;0;0;4100;1;75;0;0;0;0;75;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13225;0;0;0;3800;9425;106;18000;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;1;Barranquilla;1;Barranquilla;99;5
441900;2015;0;0;1254;0;8910;0;0;10164;SI;3254;0;0;0;3254;0;0;1200;0;0;0;1200;0;0;857;0;0;0;857;0;0;9;0;0;0;9;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;213;0;0;0;213;0;0;0;0;0;0;0;0;0;5534;0;0;0;5534;0;0;17004;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;1;Barranquilla;9;Cartagena;99;5
297838192;2015;0;0;0;0;5427;0;0;5427;NO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98263;0;0;0;98263;0;0;98263;0;0;0;98263;0;0;24159;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;1;Barranquilla;1;Barranquilla;99;5
297826718;2015;0;0;0;0;2311;0;0;2311;SI;148361;0;0;148361;0;0;0;14546;0;0;14546;0;0;0;2187;0;0;2187;0;0;0;14152;0;0;14152;0;0;0;398;0;0;398;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;179644;0;0;179644;0;0;0;0;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;1;Barranquilla;1;Barranquilla;99;5
