Nro_Orden_Establecimiento;Periodo;C5REA1;C5REA2;C5REA3;C5REA4;C5REA9;C5REA5;C5REA6;C5REA7;C5REA8;C5REA10;C6GAA2e;C6GAA1b;TORAENER;C5REB1a;C5REB1b;C5REB2a;C5REB2b;C5REB3a;C5REB3b;C5REB16a;C5REB16b;C5REB4a;C5REB4b;C5REB5a;C5REB5b;C5REB6a;C5REB6b;C5REB7a;C5REB7b;C5REB8a;C5REB8b;C5REB9a;C5REB9b;C5REB10a;C5REB10b;C5REB11a;C5REB12a;C5REB13a;C5REB14a;C5REB15a;C5REB15b;C5REB17a;C5REB17b;CONBIOGAS;C5REB18b;CODSEDE;Sede;CODSUBSEDE;Subsede;NOVEDAD;ESTADO
297826960;2015;0;1500;1500;1000;10000;650;0;0;0;2500;0;0;17150;100920;39527;51877;66304;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;105831;2;Bogotá;2;Bogotá;99;5
297821378;2015;0;2485;5348;2348;3945;5965;0;0;0;8348;1285;0;29724;185300;68250;974;1673;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;69923;2;Bogotá;18;Villavicencio;99;5
444265;2015;0;0;0;175;272;0;0;0;0;0;0;0;447;91596;39203;0;0;9000;22707;30;177;7200;38160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100247;3;Bucaramanga;10;Cúcuta;99;5
297822798;2015;0;200;0;7200;0;0;0;0;0;700;0;1000;9100;111000;50700;19316;22535;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;73235;6;Medellín;6;Medellín;99;5
297826670;2015;0;0;0;0;0;0;0;0;0;0;0;0;0;2043129;562002;79121;64732;0;0;0;0;600;4820;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9200;0;0;0;0;0;631554;1;Barranquilla;1;Barranquilla;99;5
297826831;2015;0;0;0;138;0;0;0;0;0;28504;0;0;28642;1151844;397294;46548;40907;0;0;0;0;173;1215;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;439416;1;Barranquilla;1;Barranquilla;99;5
297826723;2015;0;0;0;0;0;0;0;0;0;0;0;0;0;3085867;1229463;132967;162442;0;0;0;0;700;5810;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1397715;1;Barranquilla;1;Barranquilla;99;5
441900;2015;0;0;0;2340;0;0;0;0;0;0;0;0;2340;0;0;0;0;6010;6508;0;0;42411;352011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;358519;1;Barranquilla;9;Cartagena;99;5
297838192;2015;0;0;0;1479;1740;0;0;0;0;0;0;0;3219;857746;201148;14109;17732;0;0;762;6000;700;5716;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;230596;1;Barranquilla;1;Barranquilla;99;5
297826718;2015;0;0;0;26423;0;0;0;0;0;0;0;0;26423;3001350;900405;87370;71609;0;0;0;0;1163;9415;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;981429;1;Barranquilla;1;Barranquilla;99;5
