Nro_Orden_Establecimiento;Periodo;C6GAA2ab;C6GAA1e;C6GAA2d;C6GAA2f;C6GAA2g;C6GAA2h;C6GAA2i;TOTALGAA;C6GAAB1a;C6GAAB1b;C6GAAB1c;C6GAAB1d;C6GAAB2a;C6GAAB2b;C6GAAB2c;C6GAAB2d;C6GAAB3a;C6GAAB3b;C6GAAB3c;C6GAAB3d;C6GAAB4a;C6GAAB4b;C6GAAB4c;C6GAAB4d;POTPSFR;C6AAC1d;POTPERM;C6AAC2d;POTTCDE;C6AAC3d;POTTCAG;C6AAC4d;POTPAU;C6AAC5d;POTTOT;C6AAC6dT;GPPSI;GPPER;GPPPSP;GPPPST;GPPCPO;GPPANO;GPPAVO;GPPGPA;GPPGPN;GPPTPOT;GPPPTA;C6AAC1bRPA;C6AAC2bRPA;C6AAC3bRPA;C6AAC4bRPA;C6AAC5bRPA;C6AAC6bRPA;C6AAC7bRPA;C6AAC8bRPA;C6AAC9bRPA;C6AAC10bTRPA;C6AAC11bRPA;C6AA12bPSAAA;CREE;CREE_B;CREE_SALUD;CREE_SALUD_B;CODSEDE;Sede;CODSUBSEDE;Subsede;NOVEDAD;ESTADO
297826960;2015;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;24;0;0;0;0;0;0;0;25;0;0;222471;48565;0;30034;20022;0;0;0;321092;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ;0; ;2;Bogotá;2;Bogotá;99;5
297821378;2015;0;0;0;0;0;398;CORMACARENA;398;a; ; ; ;a; ; ; ; ; ; ; ; ; ; ; ;1;0;17;0;1;0;0;0;1;0;20;0;0;131855;74992;15600;1;5274;0;7732;14725;250179;0;0;0;0;0;0;0;0;0;0;0;0;0;5363; ;22404; ;2;Bogotá;18;Villavicencio;99;5
444265;2015;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;30;0;0;0;0;0;30;0;0;0;0;654353;29025;9288;0;0;25920;718586;0;0;0;0;0;0;0;0;0;0;0;0;0;36594; ;36594; ;3;Bucaramanga;10;Cúcuta;99;5
297822798;2015;0;0;0;0;0;2000;SAN JERONIMO;2000; ; ; ; ; ; ; ; ; ;b;23/07/2015;22/08/2016; ;b;23/07/2015;22/08/2018;0;0;0;0;0;0;25;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;480000;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ;6;Medellín;6;Medellín;99;5
297826670;2015;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;21;0;35;0;0;0;4;0;60;0;0;278527;59069;562659;100004;31699;0;27513;97740;1157211;0;0;0;0;0;0;0;0;0;0;0;0;0;24072; ;24072; ;1;Barranquilla;1;Barranquilla;99;5
297826831;2015;0;0;0;0;0;0;0;0; ;b;24/05/2013;31/01/2017; ; ; ; ; ; ; ; ; ; ; ; ;1;0;77;0;0;0;0;0;2;0;80;0;0;1014732;395350;0;72397;23691;6277;15456;0;1527903;0;0;0;0;0;0;0;0;0;0;0;0;0;14488; ;14488; ;1;Barranquilla;1;Barranquilla;99;5
297826723;2015;0;0;1100;1100;0;0;0;2200; ;b;26/07/2006;25/08/2016; ; ; ; ; ; ; ; ; ; ; ; ;0;0;81;2;0;0;113;5;4;0;198;7;0;1653415;398577;0;252146;94308;0;30924;149373;2578743;1234567;0;85234;34561;0;123;12;0;0;1232;121162;0;12;0;0;59704;0;1;Barranquilla;1;Barranquilla;99;5
441900;2015;15415;2125;4174;1479;0;0;0;23193; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;34;0;0;0;0;0;3;0;37;0;0;353496;74589;0;54405;14140;0;23196;0;519826;0;0;0;0;0;0;0;0;0;0;0;0;0;14587; ;14587; ;1;Barranquilla;9;Cartagena;99;5
297838192;2015;0;0;0;0;0;0;0;0; ;b;25/08/2004;28/08/2016; ; ; ; ; ; ; ; ; ; ; ; ;0;0;6;0;0;0;36;0;1;0;43;0;8743;204882;78996;0;41134;23200;0;5000;56249;418204;669243;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ;1;Barranquilla;1;Barranquilla;99;5
297826718;2015;0;0;0;0;0;0;0;0; ;b;04/09/2015;30/08/2018; ; ; ; ; ; ; ; ; ;b;31/03/2013;30/03/2015;0;0;174;0;0;0;3;0;7;0;184;0;511634;2384269;623475;0;391331;137343;0;53319;222022;4323393;46741;0;0;0;0;0;0;0;0;0;0;0;0;136171; ;136171; ;1;Barranquilla;1;Barranquilla;99;5
