Nro_Orden_Establecimiento;Periodo;CODSEDE;Sede;CODSUBSEDE;Subsede;NOVEDAD;ESTADO
297826960;2015;2;Bogotá;2;Bogotá;99;5
297821378;2015;2;Bogotá;18;Villavicencio;99;5
444265;2015;3;Bucaramanga;10;Cúcuta;99;5
297822798;2015;6;Medellín;6;Medellín;99;5
297826670;2015;1;Barranquilla;1;Barranquilla;99;5
297826831;2015;1;Barranquilla;1;Barranquilla;99;5
297826723;2015;1;Barranquilla;1;Barranquilla;99;5
441900;2015;1;Barranquilla;9;Cartagena;99;5
297838192;2015;1;Barranquilla;1;Barranquilla;99;5
297826718;2015;1;Barranquilla;1;Barranquilla;99;5
297826953;2015;1;Barranquilla;1;Barranquilla;99;5
297826792;2015;1;Barranquilla;1;Barranquilla;99;5
296886290;2015;1;Barranquilla;9;Cartagena;99;5
9816110;2015;1;Barranquilla;1;Barranquilla;99;5
9815988;2015;1;Barranquilla;1;Barranquilla;99;5
297826722;2015;1;Barranquilla;1;Barranquilla;99;5
297827969;2015;1;Barranquilla;1;Barranquilla;99;5
297819041;2015;1;Barranquilla;1;Barranquilla;99;5
452218;2015;1;Barranquilla;1;Barranquilla;99;5
441772;2015;1;Barranquilla;1;Barranquilla;99;5
441802;2015;1;Barranquilla;1;Barranquilla;99;5
408986;2015;1;Barranquilla;1;Barranquilla;99;5
441854;2015;1;Barranquilla;1;Barranquilla;99;5
10101150;2015;1;Barranquilla;1;Barranquilla;99;5
297827591;2015;1;Barranquilla;1;Barranquilla;99;5
300470906;2015;1;Barranquilla;1;Barranquilla;99;5
10101289;2015;1;Barranquilla;1;Barranquilla;99;5
300470907;2015;1;Barranquilla;1;Barranquilla;99;5
300470908;2015;1;Barranquilla;1;Barranquilla;99;5
300470909;2015;1;Barranquilla;1;Barranquilla;99;5
300470910;2015;1;Barranquilla;1;Barranquilla;99;5
1771148;2015;1;Barranquilla;1;Barranquilla;99;5
10101357;2015;1;Barranquilla;1;Barranquilla;99;5
10101358;2015;1;Barranquilla;1;Barranquilla;99;5
297826799;2015;2;Bogotá;2;Bogotá;99;5
297718659;2015;2;Bogotá;2;Bogotá;99;5
297826796;2015;2;Bogotá;2;Bogotá;99;5
297827958;2015;2;Bogotá;2;Bogotá;99;5
297827000;2015;2;Bogotá;2;Bogotá;99;5
414681;2015;2;Bogotá;2;Bogotá;99;5
382101;2015;4;Cali;15;Popayán;99;5
297826978;2015;2;Bogotá;2;Bogotá;99;5
297826677;2015;2;Bogotá;2;Bogotá;99;5
297826828;2015;2;Bogotá;2;Bogotá;99;5
297826830;2015;2;Bogotá;2;Bogotá;99;5
452491;2015;1;Barranquilla;9;Cartagena;99;5
9807355;2015;2;Bogotá;2;Bogotá;99;5
297826832;2015;2;Bogotá;2;Bogotá;99;5
297826833;2015;2;Bogotá;2;Bogotá;99;5
297826834;2015;2;Bogotá;2;Bogotá;99;5
452129;2015;2;Bogotá;2;Bogotá;99;5
9807356;2015;2;Bogotá;2;Bogotá;99;5
9807357;2015;2;Bogotá;2;Bogotá;99;5
297826941;2015;2;Bogotá;2;Bogotá;99;5
297826946;2015;2;Bogotá;2;Bogotá;99;5
297826982;2015;2;Bogotá;2;Bogotá;99;5
296886228;2015;1;Barranquilla;9;Cartagena;99;5
297826663;2015;2;Bogotá;2;Bogotá;99;5
297826985;2015;2;Bogotá;2;Bogotá;99;5
297826986;2015;2;Bogotá;2;Bogotá;99;5
297838044;2015;2;Bogotá;17;Tunja;99;5
409910;2015;5;Manizales;11;Ibagué;99;5
450883;2015;2;Bogotá;2;Bogotá;99;5
297839484;2015;2;Bogotá;2;Bogotá;99;5
299303284;2015;2;Bogotá;2;Bogotá;99;5
337133;2015;2;Bogotá;2;Bogotá;99;5
296886229;2015;1;Barranquilla;16;Santa Marta;99;5
297718272;2015;2;Bogotá;2;Bogotá;99;5
297826922;2015;2;Bogotá;2;Bogotá;99;5
451446;2015;1;Barranquilla;16;Santa Marta;99;5
455513;2015;2;Bogotá;2;Bogotá;99;5
9807403;2015;2;Bogotá;2;Bogotá;99;5
297730683;2015;2;Bogotá;2;Bogotá;98;5
296886232;2015;2;Bogotá;2;Bogotá;99;5
296886233;2015;2;Bogotá;2;Bogotá;99;5
296886234;2015;2;Bogotá;2;Bogotá;99;5
296886235;2015;2;Bogotá;2;Bogotá;99;5
296886236;2015;2;Bogotá;2;Bogotá;99;5
3834328;2015;2;Bogotá;2;Bogotá;99;5
297826903;2015;2;Bogotá;2;Bogotá;99;5
451463;2015;2;Bogotá;2;Bogotá;99;5
451466;2015;2;Bogotá;2;Bogotá;99;5
297826734;2015;2;Bogotá;2;Bogotá;99;5
297826735;2015;2;Bogotá;2;Bogotá;99;5
452253;2015;2;Bogotá;2;Bogotá;99;5
296886239;2015;5;Manizales;11;Ibagué;99;5
452256;2015;2;Bogotá;2;Bogotá;99;5
457976;2015;6;Medellín;12;Monteria;99;5
297826882;2015;2;Bogotá;2;Bogotá;99;5
297826889;2015;2;Bogotá;2;Bogotá;99;5
297826988;2015;2;Bogotá;2;Bogotá;99;5
297718280;2015;2;Bogotá;2;Bogotá;99;5
451402;2015;2;Bogotá;2;Bogotá;99;5
297826991;2015;2;Bogotá;2;Bogotá;99;5
9807346;2015;2;Bogotá;2;Bogotá;99;5
9807408;2015;2;Bogotá;2;Bogotá;99;5
297826672;2015;2;Bogotá;2;Bogotá;99;5
297838058;2015;2;Bogotá;2;Bogotá;99;5
297827017;2015;2;Bogotá;2;Bogotá;99;5
297826945;2015;2;Bogotá;2;Bogotá;99;5
297838050;2015;2;Bogotá;91;Leticia;99;5
299303287;2015;2;Bogotá;2;Bogotá;99;5
9815066;2015;2;Bogotá;2;Bogotá;99;5
450816;2015;2;Bogotá;2;Bogotá;99;5
74977;2015;2;Bogotá;2;Bogotá;99;5
407032;2015;2;Bogotá;2;Bogotá;99;5
297826739;2015;2;Bogotá;2;Bogotá;99;5
297826977;2015;2;Bogotá;2;Bogotá;99;5
9807394;2015;2;Bogotá;2;Bogotá;99;5
297826749;2015;2;Bogotá;2;Bogotá;99;5
297827337;2015;2;Bogotá;2;Bogotá;99;5
297826662;2015;2;Bogotá;2;Bogotá;99;5
408533;2015;2;Bogotá;2;Bogotá;99;5
450869;2015;2;Bogotá;2;Bogotá;99;5
297826835;2015;2;Bogotá;2;Bogotá;99;5
441267;2015;2;Bogotá;2;Bogotá;99;5
447079;2015;2;Bogotá;2;Bogotá;99;5
297826870;2015;2;Bogotá;2;Bogotá;99;5
297826640;2015;2;Bogotá;2;Bogotá;99;5
297826980;2015;2;Bogotá;2;Bogotá;99;5
297826975;2015;2;Bogotá;2;Bogotá;99;5
297839506;2015;2;Bogotá;2;Bogotá;99;5
9807441;2015;2;Bogotá;2;Bogotá;99;5
9807448;2015;2;Bogotá;2;Bogotá;99;5
441825;2015;1;Barranquilla;16;Santa Marta;99;5
9795548;2015;2;Bogotá;18;Villavicencio;99;5
297826990;2015;2;Bogotá;2;Bogotá;99;5
297826738;2015;2;Bogotá;2;Bogotá;99;5
297839497;2015;2;Bogotá;2;Bogotá;99;5
297826642;2015;2;Bogotá;2;Bogotá;99;5
297718322;2015;2;Bogotá;2;Bogotá;99;5
9815979;2015;1;Barranquilla;16;Santa Marta;99;5
448987;2015;2;Bogotá;2;Bogotá;99;5
297718312;2015;2;Bogotá;2;Bogotá;99;5
297718302;2015;2;Bogotá;2;Bogotá;99;5
297839505;2015;2;Bogotá;2;Bogotá;99;5
297821308;2015;2;Bogotá;2;Bogotá;99;5
297718360;2015;2;Bogotá;2;Bogotá;99;5
